"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"1","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"superfast",11.91,1190.526611,12.75196743,31.36447029,0.933180889,0.525328266,1,1,1,1,1,1,1,1,3
"2","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"veryfast",15.57,1205.922363,12.91687489,31.68459954,0.936750144,0.543396121,1.12378814943993,1.12325599954666,1.1898913790104,1.01780069062789,1.05435774001039,1.10413380516245,1.10361096223438,1.16908093103802,3.2027324
"3","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"faster",16.41,1206.881226,12.92714691,31.68445676,0.936719404,0.543373788,1.12373293901484,1.1221944644571,1.18965666137693,1.02188609503429,1.0577436619847,1.09966555418991,1.09816002968457,1.16417736493127,3.1784666
"4","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"fast",19.36,1229.886108,13.17355633,31.85761226,0.939585457,0.549888085,1.19068901663145,1.22116700277916,1.258121282142,1.03623364622343,1.13896654413006,1.14905457950621,1.17846685178552,1.21412896283308,3.1095298
"5","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"medium",28.08,1340.415161,14.3574543,32.68667528,0.949993005,0.577091413,1.51127258409642,1.58056769888234,1.54402558387522,1.07864403482321,1.52920976327909,1.40108556234135,1.46532836399675,1.4314505379231,2.8105134
"6","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"slow",55.8,1473.757568,15.78571129,33.54849285,0.958588574,0.607870876,1.84452173938329,1.87739587416465,1.86751471273249,1.21346238023442,2,1.5200485564513,1.54713974223244,1.53899679392756,2.3030925
"7","1080-60fps View.MOV",1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"slower",217.52,1463.349731,15.67423153,33.95057608,0.962138952,0.620476635,2,2,2,2,1.963253403997,1,1,1,1.5280758
"8","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"superfast",22.3,2182.655029,23.92254829,31.09718175,0.887367935,0.455570501,1.34034072429197,1.39610845235785,1.34125595602424,1,1.96738160721189,1.34034072429197,1.39610845235785,1.34125595602424,2.0726559
"9","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"veryfast",26.65,1860.764404,20.39453125,30.23789098,0.868054304,0.423064657,1,1,1,1.01475877044175,1,0.985455882844629,0.985455882844629,0.985455882844629,2.9563676
"10","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"faster",26.02,1861.18689,20.39916229,30.24184613,0.868125554,0.423149708,1.00156652283799,1.00146128541187,1.00089289053119,1.01262129334329,1.00126983029488,0.989083015952793,0.988979090204026,0.988417779786778,2.9627177
"11","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"fast",31.27,1884.202637,20.65142155,30.34512139,0.872382112,0.428838059,1.04247092681506,1.08876017818617,1.06061088027809,1.03043360249712,1.07043927182708,1.01168180491084,1.05660391465079,1.02928599931897,2.8937389
"12","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"medium",41.25,2074.512207,22.73727226,31.54753678,0.897037238,0.471975714,1.51871358997367,1.59441878803265,1.51348272995745,1.06429395399335,1.64237914325238,1.42696816445803,1.49810001461552,1.42205330048028,2.6468441
"13","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"slow",100.2,2193.508545,24.04150677,32.26929103,0.907959812,0.500611065,1.8045799960632,1.81843279569926,1.81410510670898,1.26430073963493,2,1.42733444622067,1.4382913326653,1.43486834250592,2.1502471
"14","1080-60fps Walking.MOV",1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"slower",317.04,2184.938721,23.94757748,32.7626866,0.916812746,0.518318215,2,2,2,2,1.974244606391,1,1,1,1.5195685
"15","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"superfast",3.64,27.83935547,0.316223145,44.1162062,0.981986077,0.714932213,1,1,1,1,1.62698591386287,1,1,1,1.8439004
"16","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"veryfast",4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357,1.65210771937942,1.86900768733389,1.7585344906146,1.03387703889586,1,1.59797312177839,1.80776593058873,1.70091260803379,5.1066517
"17","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"faster",4.75,22.00585938,0.249960899,44.65388,0.984169874,0.731572605,1.63859560366135,1.86574063979581,1.76087779269065,1.03481806775408,1.00227474459904,1.58346249908226,1.80296488622887,1.70163031315483,5.0765099
