"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"1","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"superfast",52,40.4822998,7.461257935,44.93,0.99195,0.726115444,1,1,1,1,1.86310876071309,1,1,1,1.610212
"2","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"veryfast",65.05,39.22802734,7.230101585,46.19,0.9929,0.756365444,1.53164556962025,1.62295081967214,1.54498174860628,1.02919267163278,1.69087555154587,1.48820100631921,1.57691641653198,1.50115890949284,2.7005396
"3","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"faster",65.15,39.21618652,7.227918625,46.19,0.9929,0.756365444,1.53164556962025,1.62295081967214,1.54498174860628,1.02941637026598,1.68924904115027,1.48787761090734,1.5765737427051,1.50083269824735,2.7025524
"4","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"fast",84.15,41.47912598,7.644981384,46.38,0.9931,0.76057189,1.61181434599156,1.75409836065573,1.62076476667232,1.07191911057423,2,1.50367162045287,1.63640926199743,1.51202152353088,2.3260512
"5","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"medium",125.78,40.8762207,7.533869743,46.83,0.993250012,0.771075015,1.80168776371308,1.85246688524588,1.80998828496424,1.16504485157596,1.91721138309518,1.546453564664,1.59003911543838,1.55357820131634,2.4462983
"6","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"slow",196.79,37.92858887,6.990591049,47.3,0.99345,0.78162189,2,1.98360655737709,2,1.32389325101224,1.51241768852527,1.5106958196749,1.49831306705464,1.5106958196749,2.9883971
"7","bumblebee credits.mkv",1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"slower",499.03,34.19726563,6.302868843,47.27,0.993475,0.781521694,1.9873417721519,2,1.99819487632121,2,1,0.993670886075951,1,0.999097438160606,2.9927683
"8","bumblebee scene 1.mkv",1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,"superfast",79.2,176.2458496,28.6970911,42.77,0.97686281,0.500175455,1,1,1,1,2,1,1,1,1.5
"9","bumblebee scene 1.mkv",1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,"veryfast",107.56,165.104248,26.88295555,42.92,0.97754189,0.504988983,1.11904761904762,1.17991547883011,1.1102729383101,1.02711981104109,1.04079591979785,1.08950056947431,1.14876128972154,1.08095757318197,3.1891165
"10","bumblebee scene 1.mkv",1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,"faster",107.83,165.0507813,26.87425613,42.96,0.977558464,0.505841462,1.15079365079365,1.18430659496684,1.1298023487919,1.02737800388246,1.03619619782041,1.12012681451696,1.15274669156956,1.09969489761547,3.2547585
