,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration,Metric
1,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,superfast,2.87,19.59216309,0.492760658,39.37,0.953786482,0.669320928,1,1,1,1,1.865452681,1,1,1,1.6081887
2,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,veryfast,4.72,17.97924805,0.452194214,39.61,0.955522254,0.677815587,1.296296296,1.393090749,1.37920919,1.053268068,1,1.230737298,1.32263646,1.309456948,3.8628307
3,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,faster,4.75,18.00073242,0.45273304,39.62,0.95554578,0.677777544,1.308641975,1.398418553,1.377510916,1.054131874,1.011495422,1.241440475,1.326606838,1.306772852,3.8307837
4,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,fast,6.52,19.84301758,0.499067307,40.01,0.957591857,0.688880514,1.790123457,1.861782371,1.873157447,1.105096458,2,1.619879824,1.68472386,1.695017148,2.4998104
5,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,medium,7.27,19.82006836,0.498493195,40.15,0.958202185,0.691721912,1.962962963,2,2,1.126691621,1.987751779,1.742236231,1.775108612,1.775108612,2.6625324
6,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,slow,16.13,19.83789063,0.498941422,40.1,0.955567121,0.687713906,1.901234568,1.403251532,1.82107902,1.381802476,1.997314344,1.375909076,1.015522519,1.317901112,1.8571602
7,1008613954-preview.mp4,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,slower,37.6,18.96850586,0.477074623,40.18,0.956051476,0.690158009,2,1.512940748,1.930185969,2,1.530803653,1,0.756470374,0.965092984,1.7778657
8,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,superfast,3.17,32.20874023,0.988447189,39.88,0.973375874,0.701180896,1,1,1,1,1.236102341,1,1,1,2.4269835
9,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,veryfast,5.39,30.7791748,0.944577217,39.98,0.975031923,0.710082979,1.052356021,1.229294051,1.168772684,1.042342171,1,1.009607066,1.179357495,1.121294636,3.3102592
10,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,faster,5.41,30.78015137,0.944609642,39.92,0.97479538,0.708586903,1.020942408,1.196542664,1.1404089,1.042723632,1.000174507,0.979111221,1.147516588,1.093682799,3.2197487
11,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,fast,7.5,34.60461426,1.061974525,40.86,0.978043936,0.73343502,1.513089005,1.646332837,1.611499027,1.082586306,1.631816662,1.39766132,1.520740497,1.488564024,2.7006501
12,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,medium,8.62,36.42443848,1.117822647,41.27,0.978933521,0.741894416,1.727748691,1.769503437,1.771878903,1.103948121,1.932383809,1.565063301,1.602886406,1.605038198,2.4699999
13,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,slow,19.93,36.83374023,1.130386353,41.63,0.980255608,0.751241607,1.916230366,1.952557612,1.949090295,1.319664314,2,1.452058941,1.479586582,1.476959158,2.2043023
14,1011314759-preview.mp4,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,slower,55.6,35.94726563,1.103178978,41.79,0.980598255,0.75392689,2,2,2,2,1.853573535,1,1,1,1.6184953
15,1021607974-preview.mp4,596,336,16.56,25,414,109.8632813,1.841935158,1,0.16203,0.98908,superfast,0.7,15.62084961,0.257746696,39.03,0.970745988,0.735882949,1,1,1,1,1.035235955,1,1,1,2.8978901
16,1021607974-preview.mp4,596,336,16.56,25,414,109.8632813,1.841935158,1,0.16203,0.98908,veryfast,1.12,15.48486328,0.255503654,39.73,0.975371277,0.757923772,1.357142857,1.505137225,1.420200779,1.034118603,1,1.312366738,1.455478338,1.373344194,4.1411893
