"","Video.Name","Metric","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration"
"1","bumblebee credits.mkv",2.9927683,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,"slower",499.03,34.19726563,6.302868843,47.27,0.993475,0.781521694,1.9873417721519,2,1.99819487632121,2,1,0.993670886075951,1,0.999097438160606
"2","bumblebee scene 1.mkv",3.2547585,1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,"faster",107.83,165.0507813,26.87425613,42.96,0.977558464,0.505841462,1.15079365079365,1.18430659496684,1.1298023487919,1.02737800388246,1.03619619782041,1.12012681451696,1.15274669156956,1.09969489761547
"3","bumblebee scene 2.mkv",3.8959223,1920,1080,486.861,24,11672,1095.494629,720.5618916,21,0.29039,0.76157,"faster",348.21,209.0810547,101.4174623,41.37,0.961163662,0.439522347,1.27999999999999,1.33575444632456,1.38952835091754,1.02807050692087,1,1.24505079309557,1.29928291623229,1.35158857448334
"4","bumblebee scene 3.mkv",3.5734785,1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"faster",164.65,130.0430908,38.94882965,40.98,0.961699906,0.55468763,1.17924528301887,1.35492096703882,1.13562781788997,1.02695288195034,1,1.14829541232632,1.31936040187708,1.10582270895744
"5","bumblebee scene 4.mkv",3,1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"slower",893.2,43.70129395,10.46455765,45.65,0.983165069,0.366941008,2,2,2,2,1,1,1,1
"6","bumblebee scene 5.mkv",3.46472,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"faster",111.6,36.81933594,8.862512589,43.1,0.974390241,0.510520047,1.21428571428572,1.32215761678994,1.13443168715759,1.03354190315346,1.02511684959608,1.17487806791459,1.27924916518225,1.09761557194372
"7","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",3.1532798,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"slow",1988.14,873310,154248671,43.52,0.99225,0.999999984,1.81651376146789,1.9230769230769,2,1.3184470876534,1.38056135838252,1.37776766203107,1.45859241609736,1.51693611274128
"8","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",3.3314823,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"slow",1629.53,704307,119003477,43.52,0.99335,0.999999984,1.80909090909091,1.93846153846151,2,1.30174850747968,1.32531264276548,1.38973918440936,1.48912138352635,1.5363950782415
"9","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",4.0125249,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"faster",1273.11,41.78344727,120.4769068,47.29,0.986602518,0.75012492,1.3235294117647,1.41158301421188,1.40628021694054,1.0321163790418,1,1.28234512952255,1.3676587668557,1.36252097679731
"10","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",4.0863285,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"veryfast",1306.78,45.875,134,47.16,0.98882479,0.749416573,1.37837837837838,1.38226384651962,1.45423005187265,1.03145702267101,1,1.33634106713336,1.34010803759926,1.40987944229305
