"","Video.Name","Metric","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion..","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration"
"1","1008613954-preview.mp4",3.8628307,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.82356,"veryfast",4.72,17.97924805,0.452194214,39.61,0.955522254,0.677815587,1.2962962962963,1.39309074908344,1.37920919009629,1.05326806795278,1,1.23073729826054,1.32263646024242,1.30945694838831
"2","1011314759-preview.mp4",3.3102592,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.84904,"veryfast",5.39,30.7791748,0.944577217,39.98,0.975031923,0.710082979,1.05235602094241,1.22929405136616,1.16877268442415,1.04234217051307,1,1.00960706638628,1.17935749520819,1.12129463576135
"3","1021607974-preview.mp4",4.1411893,596,336,16.56,25,414,109.8632813,1.841935158,1,0.16203,0.98908,"veryfast",1.12,15.48486328,0.255503654,39.73,0.975371277,0.757923772,1.35714285714285,1.50513722492219,1.42020077945859,1.03411860276198,1,1.31236673773987,1.45547833768988,1.37334419443325
"4","1080-60fps View.MOV",3.2027324,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"veryfast",15.57,1205.922363,12.91687489,31.68459954,0.936750144,0.543396121,1.12378814943993,1.12325599954666,1.1898913790104,1.01780069062789,1.05435774001039,1.10413380516245,1.10361096223438,1.16908093103802
"5","1080-60fps Walking.MOV",2.9627177,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"faster",26.02,1861.18689,20.39916229,30.24184613,0.868125554,0.423149708,1.00156652283799,1.00146128541187,1.00089289053119,1.01262129334329,1.00126983029488,0.989083015952793,0.988979090204026,0.988417779786778
"6","1080p60 Bike 1.mp4",2.9820284,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,"faster",91.39,1369.522827,52.72599792,27.76,0.868028009,0.428338439,1.02941176470589,1.0113906922064,1,1.01970943159985,1,1.00951480177134,0.991842049180224,0.980671521720721
"7","1080p60 Bike 2.mp4",3.3524926,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,"fast",76.25,1147.981201,33.47212505,27.64,0.891308424,0.476376747,1.41379310344828,1.42987980433755,1.32423765708854,1.04256694367498,1.19246766958503,1.35606937475378,1.37149927207295,1.27017038581781
"8","1080p60 Bike 3.mp4",3.0043582,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,"faster",40.87,957.5074463,20.13430309,28.2,0.903565197,0.471402993,1,1.06049657336094,1.01752243694044,1.02451798413391,1,0.976068761589736,1.03511757703057,0.993171864914229
"9","1080p60 Bike 4.mp4",3.6230412,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,"fast",138.95,1196.118164,66.80640221,28.24,0.907588633,0.487765517,1.54285714285714,1.51744030871601,1.4123521218355,1.04455839062186,1.18184052582343,1.47704250591355,1.45270989380749,1.35210452045164
"10","160416_30_Smartphone2.mov",5.1066517,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"veryfast",4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357,1.65210771937942,1.86900768733389,1.7585344906146,1.03387703889586,1,1.59797312177839,1.80776593058873,1.70091260803379
