Width,Height,Frames.per.Second,Original.Bitrate,Scene.Count,Avg.Motion,Avg.PCC,Compression.Preset
596,336,59.94,117.449707,1,0.23271,0.82356,veryfast
596,336,50,109.8632813,1,0.19714,0.84904,veryfast
596,336,25,109.8632813,1,0.16203,0.98908,veryfast
1920,1080,60,2839.228516,1,0.0666,0.94,slow
1920,1080,60,4880.441406,1,0.4596,0.67,slow
1920,1080,59.94,3051.875,1,0.29856,0.83765,faster
1920,1080,59.94,3051.875,1,0.35597,0.80051,fast
1920,1080,59.94,3051.875,1,0.22755,0.84514,faster
1920,1080,59.94,3051.875,1,0.21832,0.84488,fast
1920,1080,25,744.5205078,1,0.2605,0.97,veryfast
1920,1080,25,5331.632935,1,0.2236,0.94,slow
1920,1080,25,3680.15271,1,0.2745,0.8,slow
1920,1080,25,3885.625366,1,0.3227,0.9,slower
1920,1080,25,3809.698242,1,0.2882,0.95,slow
1920,1080,25,4242.866333,1,0.2749,0.94,fast
596,336,50,109.8632813,1,0.03798,0.9125,veryfast
596,336,25,109.8632813,1,0.26625,0.95327,faster
596,336,29.97,109.8632813,1,0.15241,0.95402,faster
1280,720,120,3466.872314,1,0.0819,0.92,slow
1280,720,120,5566.698608,1,0.426,0.6,slow
1280,720,25,298.1385498,1,0.37065,0.89391,faster
1920,1080,24,1610.656616,2,0.14086,0.83119,fast
1280,720,24,997.9141846,1,0.01475,0.99277,faster
1280,720,24,829.5612793,1,0.00673,0.98163,veryfast
1280,720,24,1629.902222,1,0.04014,0.98203,fast
1920,1080,29.97,1464.875,2,0.33628,0.88596,fast
1920,1080,29.97,1464.875,1,0.07514,0.98461,veryfast
1280,720,23.976,1122.787354,1,0.25741,0.84744,faster
1920,1080,29.97,1621.998291,1,0.33283,0.80333,faster
720,576,25,2983.59375,1,0,0.97,medium
1280,720,29.97,447.0131836,2,0.11812,0.93483,slower
1280,720,29.97,1749.949585,24,0.28749,0.80082,slow
1280,720,29.97,398.5480957,4,0.33707,0.9309,fast
1280,720,29.97,490.7335205,3,0.0745,0.95767,slow
1280,720,29.97,358.5378418,2,0.09707,0.94576,fast
1920,1080,29.97,1628.141968,1,0.09791,0.95626,fast
1920,1080,29.97,511.9628906,1,0.42221,0.77508,faster
1920,1080,24,1095.494629,2,0.10098,0.93871,slower
1920,1080,24,1095.494629,17,0.18279,0.62345,faster
1920,1080,24,1095.494629,21,0.29039,0.76157,faster
1920,1080,24,1095.494629,9,0.30004,0.86504,faster
1920,1080,24,1095.494629,7,0.10222,0.79566,slower
1920,1080,24,1095.494629,8,0.10642,0.86911,faster
1280,720,29.97,305.1757813,4,0.3202,0.94195,faster
1024,576,25,374.2772217,5,0.31566,0.95733,slow
1920,1080,50,328.3735352,1,0.09753,0.99188,veryfast
1920,1080,29.97,1613.730591,1,0.20142,0.98049,veryfast
1920,808,30,764.5021973,1,0.18853,0.67046,faster
1920,798,30,1265.165161,1,0.08508,0.33618,fast
1920,1080,29.97,1564.610596,1,0.32662,0.91732,faster
1920,1080,29.97,1464.875,1,0.35276,0.89519,faster
