Width,Height,Frames.per.Second,,Original.Bitrate,Scene.Count,Avg.Motion,Avg.PCC,averageintensitycomparision,Compression.Preset
1920,1080,60,,2839.228516,1,0.0666,0.94,0.683750346,1
1920,1080,60,,4880.441406,1,0.4596,0.67,0.178766398,2
1920,1080,25,,744.5205078,1,0.2605,0.97,0.887257683,1
1920,1080,25,,5331.632935,1,0.2236,0.94,0.352166317,2
1920,1080,25,,3680.15271,1,0.2745,0.8,0.50224806,3
1920,1080,25,,3885.625366,1,0.3227,0.9,0.712284613,4
1920,1080,25,,3809.698242,1,0.2882,0.95,0.550053915,5
1920,1080,25,,4242.866333,1,0.2749,0.94,0.883031719,3
1280,720,120,,3466.872314,1,0.0819,0.92,0.67604027,1
1280,720,120,,5566.698608,1,0.426,0.6,0.702161159,3
720,576,25,,2983.59375,1,0,0.97,0.92372449,1
1280,720,29.97,,447.0131836,2,0.11812,0.93483,0.44298714,2
1280,720,29.97,,1749.949585,24,0.28749,0.80082,0.453188671,5
1280,720,29.97,,398.5480957,4,0.33707,0.9309,0.453191608,1
1280,720,29.97,,490.7335205,3,0.0745,0.95767,0.444107161,1
1280,720,29.97,,358.5378418,2,0.09707,0.94576,0.454651451,1
1280,720,29.97,,305.1757813,4,0.3202,0.94195,0.675833768,2
1024,576,25,,374.2772217,5,0.31566,0.95733,0.245176623,3
1920,808,30,,764.5021973,1,0.18853,0.67046,0.640797381,2
1920,798,30,,1265.165161,1,0.08508,0.33618,0.668956815,3
1920,798,30,,2130.918457,14,0.19698,0.46947,0.023150589,5
1920,798,30,,2116.720703,10,0.24131,0.46774,0.122806691,5
1920,798,30,,1834.600098,3,0.39492,0.60618,0.284431978,2
1920,1080,25,,4367.943115,1,0.18416,0.95512,0.877462506,2
1920,1080,24,,5493.125,1,0.09169,0.8476,0.567772657,4
1920,1080,23.976,,683.3496094,341,0.30173,0.72078,0.779498794,4
3840,2160,30,,5862.145508,1,0.42705,0.63138,0.592693854,3
1920,1080,25,,3122.967407,1,0.17277,0.89368,0.638036343,2
1920,798,30,,1374.126343,1,0.26722,0.92563,0.575474082,2
1920,1080,29.97,,357.0549316,1,0.3739,0.95,0.640082623,2
1920,1080,29.97,,3574.299316,1,0.3787,0.94,0.878627021,2
1920,1080,29.97,,8341.550781,1,0.3775,0.94,0.417161265,2
1920,1080,25,,1005.489136,1,0.0081,0.98,0.625771798,2
1920,1080,59.94,,6843.75,1,0.25362,0.90947,0.138990302,1
1920,808,30,,2048.721924,16,0.2409,0.4,0.179271519,2
1920,808,30,,1808.66333,24,0.35799,0.55271,0.356581224,2
1920,808,30,,1220.777466,39,0.3588,0.8,0.179668867,2
1920,808,30,,828.4587402,35,0.3384,0.7,0.279588637,2
1280,720,23.976,,278.225708,182,0.21512,0.63227,0.208178818,4
1280,720,23.976,,416.0251465,185,0.20892,0.56572,0.14292355,2
1280,720,23.976,,395.7220459,212,0.21282,0.56813,0.245646775,3
1280,720,23.976,,285.4255371,187,0.21327,0.61337,0.15174504,6
1920,798,30,,1132.62854,1,0.2171,0.94,0.146813947,2
1920,798,30,,1929.886353,5,0.5029,0.63,0.118926261,1
1920,798,30,,1250.937134,1,0.2328,0.83,0.140371392,1
1280,720,23.976,,162.4312744,7,0.2644,0.58,0.277667734,2
1920,798,30,,793.5748291,1,0.3253,0.95,0.235198511,1
1920,798,30,,841.3157959,2,0.3114,0.91,0.855021145,2
1920,1080,25,,1519.837769,1,0.0201,0.99,0.245378266,1
1024,576,25,,375.8397217,10,0.3515,0.95,0.692713333,2
1920,1080,29.97,,549.3164063,10,0.23207,0.82936,0.740772271,1
640,360,29.97,,89.2935791,13,0.13452,0.76019,,1
