,Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration,averageintensitycomparision
1,1080-60fps View.MOV,3.2027324,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,1,15.57,1205.922363,12.91687489,31.68459954,0.936750144,0.543396121,1.123788149,1.123256,1.189891379,1.017800691,1.05435774,1.104133805,1.103610962,1.169080931,0.683750346
2,1080-60fps Walking.MOV,2.9627177,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,2,26.02,1861.18689,20.39916229,30.24184613,0.868125554,0.423149708,1.001566523,1.001461285,1.000892891,1.012621293,1.00126983,0.989083016,0.98897909,0.98841778,0.178766398
3,160416_30_Smartphone2.mov,5.1066517,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,1,4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357,1.652107719,1.869007687,1.758534491,1.033877039,1,1.597973122,1.807765931,1.700912608,0.887257683
4,161212_068_Vietnam_1080p96fps.mp4,2.9101808,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,2,19.47,146.9918213,4.757061005,40.69303204,0.973037535,0.521797117,1,1.003038607,1,1.031907914,1,0.969078719,0.972023369,0.969078719,0.352166317
5,171124_B1_HD_001.mp4,3.0674348,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,3,19.59,328.6102295,6.2865448,38.85621611,0.962860133,0.645014728,1.22331478,1.321706225,1.264718586,1.055316305,1.176893873,1.159192532,1.252426612,1.198426083,0.50224806
6,180301_03_B_CausewayBay_02.mp4,3.1780201,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,4,37.93,95.10339355,1.470677376,42.78593592,0.976149535,0.704131666,1.892406166,1.924784722,1.8772731,1.403660131,1.276539464,1.348194,1.371261233,1.337412853,0.712284613
7,180301_03_B_CausewayBay_03.mp4,3.0954212,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,5,34.17,83.23657227,2.524577141,41.62838711,0.963558281,0.536987699,1.68627858,1.831466932,1.693852916,1.153015827,1.460212013,1.462493871,1.588414391,1.469063023,0.550053915
8,180626_07_DMZ_08.mp4,4.5333008,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,3,6.84,419.2156982,3.575533867,34.54986109,0.972105391,0.650818186,1.501136074,1.68332262,1.53950921,1.042059219,1,1.440547759,1.615380958,1.477372093,0.883031719
9,720-120fps View.MOV,3.5250802,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,1,14.12,923.3747559,9.775444984,30.1870951,0.918852487,0.501859839,1.223373495,1.305281399,1.257210019,1.024263226,1.048538871,1.194393651,1.274361282,1.22742864,0.67604027
10,720-120fps Walking.MOV,3.1019939,1280,720,10.125,120,1215,5566.698608,56.74141026,1,0.426,0.6,3,26,1999.579224,20.17266655,27.33784554,0.899214612,0.42754818,1.080639642,1.163612658,1.104729441,1.035338549,1.042772226,1.04375486,1.123895811,1.067022418,0.702161159
11,bars_100.avi,4.1686934,720,576,4.04,25,101,2983.59375,14.73564529,1,0,0.97,1,0.37,2.554199219,0.010281563,50.42525676,0.997299314,0.85884951,1.684952961,1.809505515,1.65145749,1.065217391,1.158842697,1.581792576,1.698719463,1.550347848,0.92372449
12,bb1.mkv,4.3651539,1280,720,172.714,29.97,5176,447.0131836,75.39593601,2,0.11812,0.93483,2,41.93,23.11437988,3.977581024,44.8,0.980354715,0.603399027,1.76056338,1.481498216,1.283086108,1.036652498,1,1.698315861,1.42911749,1.237720558,0.44298714
13,bb2.mkv,4.294333,1280,720,252.925,29.97,7580,1749.949585,432.2324352,24,0.28749,0.80082,5,163.79,118.4677734,29.85460472,44.8,0.874482861,0.409703983,1.779411765,1.566366869,1.368219808,1.097725418,1,1.620998964,1.42692047,1.246413526,0.453188671
14,bb3.mkv,4.2181931,1280,720,289.608,29.97,8679,398.5480957,112.7174883,4,0.33707,0.9309,1,88.45,58.39001465,16.84808636,44.54,0.984777889,0.715960389,1.541353383,1.442728291,1.386184437,1.032011546,1.003914824,1.493542771,1.39797689,1.343186947,0.453191608
15,bb4.mkv,4.0369217,1280,720,166.982,29.97,5004,490.7335205,80.02311134,3,0.0745,0.95767,1,38.81,21.390625,3.558614731,44.54,0.977692594,0.723444253,1.583333333,1.392305181,1.231548686,1.037702042,1.004312438,1.525807283,1.341719612,1.186803761,0.444107161
16,bb5.mkv,4.1354997,1280,720,289.443,29.97,8674,358.5378418,101.3439989,2,0.09707,0.94576,1,74.48,28.58691406,8.243812561,44.8,0.9768081,0.602168492,1.736111111,1.360534395,1.199666697,1.03504969,1.003706279,1.677321511,1.314462878,1.159042612,0.454651451
17,Burgos  Spain- A Virtual Day in the Pedestrian Precinct (Short version 720p).mp4,4.5432836,1280,720,325.023,29.97,9741,305.1757813,103.2941685,4,0.3202,0.94195,2,98.3,74.94750977,24.27179813,67,0.981036941,0.719567894,2,1.504255504,1.162086542,1.027085786,1,1.947257014,1.46458604,1.131440584,0.675833768
18,byger-20030708-liten.avi,2.9561368,1024,576,121.48,25,3037,374.2772217,44.47452354,5,0.31566,0.95733,3,43.77,61.93444824,7.496641159,39.31919256,0.955238392,0.552932302,1.101904506,1.125623866,1.075672984,1.061431469,1.052733802,1.038130617,1.060477194,1.013417272,0.245176623
19,credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,5.2658952,1920,808,61.248,30,1468,764.5021973,47.17855263,1,0.18853,0.67046,2,16.92,48.84777832,2.977091789,15.62478597,0.642175457,0.033994872,1.752894885,2,1.642393086,1.020338752,1.004148711,1.717953847,1.960133333,1.609654717,0.640797381
20,credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,5.3105593,1920,798,60.024,30,1438,1265.165161,75.48967361,1,0.08508,0.33618,3,19.92,85.53283691,5.106376648,14.60618255,0.80915096,0.1062746,1.906521343,2,1.625541663,1.041710051,1,1.830184265,1.919920038,1.560455005,0.668956815
21,fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,3.5146937,1920,798,58.68,30,1406,2130.918457,123.325243,14,0.19698,0.46947,5,73.74,141.8182373,8.27829361,17.09416927,0.767542293,0.128498674,2,1.845217714,1.713570892,1.104876089,1.431459633,1.810157736,1.67006756,1.550916803,0.023150589
22,fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,3.326763,1920,798,52.8,30,1264,2116.720703,110.1729431,10,0.24131,0.46774,5,69.58,192.5786133,10.10593224,16.3557894,0.746173515,0.133098354,2,1.915652619,1.675929733,1.095627913,1.534086246,1.825437246,1.748451821,1.529652278,0.122806691
23,fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,3.6967175,1920,798,58.128,30,1394,1834.600098,105.4683132,3,0.39492,0.60618,2,39.75,129.0269775,7.467352867,16.91890071,0.748237369,0.121243919,1.086615413,1.982861394,1.341529523,1.023264886,1.166093431,1.061910193,1.937779182,1.311028592,0.284431978
