Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Average Intensity,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration
1008613954-preview.mp4,3.8628307,596,336,25.32,59.94,1513,117.449707,2.942211151,1,0.23271,0.186191876,0.82356,veryfast,4.72,17.97924805,0.452194214,39.61,0.955522254,0.677815587,1.296296296,1.393090749,1.37920919,1.053268068,1,1.230737298,1.32263646,1.309456948
1011314759-preview.mp4,3.3102592,596,336,30.8,50,1540,109.8632813,3.434262276,1,0.19714,0.390949941,0.84904,veryfast,5.39,30.7791748,0.944577217,39.98,0.975031923,0.710082979,1.052356021,1.229294051,1.168772684,1.042342171,1,1.009607066,1.179357495,1.121294636
1021607974-preview.mp4,4.1411893,596,336,16.56,25,414,109.8632813,1.841935158,1,0.16203,0.738511918,0.98908,veryfast,1.12,15.48486328,0.255503654,39.73,0.975371277,0.757923772,1.357142857,1.505137225,1.420200779,1.034118603,1,1.312366738,1.455478338,1.373344194
1080-60fps View.MOV,3.2027324,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.683750346,0.94,veryfast,15.57,1205.922363,12.91687489,31.68459954,0.936750144,0.543396121,1.123788149,1.123256,1.189891379,1.017800691,1.05435774,1.104133805,1.103610962,1.169080931
1080-60fps Walking.MOV,2.9627177,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.178766398,0.67,faster,26.02,1861.18689,20.39916229,30.24184613,0.868125554,0.423149708,1.001566523,1.001461285,1.000892891,1.012621293,1.00126983,0.989083016,0.98897909,0.98841778
1080p60 Bike 1.mp4,2.9820284,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.253245697,0.83765,faster,91.39,1369.522827,52.72599792,27.76,0.868028009,0.428338439,1.029411765,1.011390692,1,1.019709432,1,1.009514802,0.991842049,0.980671522
1080p60 Bike 2.mp4,3.3524926,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.358825949,0.80051,fast,76.25,1147.981201,33.47212505,27.64,0.891308424,0.476376747,1.413793103,1.429879804,1.324237657,1.042566944,1.19246767,1.356069375,1.371499272,1.270170386
1080p60 Bike 3.mp4,3.0043582,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.54829934,0.84514,faster,40.87,957.5074463,20.13430309,28.2,0.903565197,0.471402993,1,1.060496573,1.017522437,1.024517984,1,0.976068762,1.035117577,0.993171865
1080p60 Bike 4.mp4,3.6230412,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.465105159,0.84488,fast,138.95,1196.118164,66.80640221,28.24,0.907588633,0.487765517,1.542857143,1.517440309,1.412352122,1.044558391,1.181840526,1.477042506,1.452709894,1.35210452
160416_30_Smartphone2.mov,5.1066517,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.887257683,0.97,veryfast,4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357,1.652107719,1.869007687,1.758534491,1.033877039,1,1.597973122,1.807765931,1.700912608
161212_068_Vietnam_1080p96fps.mp4,2.9101808,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.352166317,0.94,faster,19.47,146.9918213,4.757061005,40.69303204,0.973037535,0.521797117,1,1.003038607,1,1.031907914,1,0.969078719,0.972023369,0.969078719
171124_B1_HD_001.mp4,3.0674348,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.50224806,0.8,fast,19.59,328.6102295,6.2865448,38.85621611,0.962860133,0.645014728,1.22331478,1.321706225,1.264718586,1.055316305,1.176893873,1.159192532,1.252426612,1.198426083
180301_03_B_CausewayBay_02.mp4,3.1780201,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.712284613,0.9,fast,37.93,95.10339355,1.470677376,42.78593592,0.976149535,0.704131666,1.892406166,1.924784722,1.8772731,1.403660131,1.276539464,1.348194,1.371261233,1.337412853
180301_03_B_CausewayBay_03.mp4,3.0954212,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.550053915,0.95,fast,34.17,83.23657227,2.524577141,41.62838711,0.963558281,0.536987699,1.68627858,1.831466932,1.693852916,1.153015827,1.460212013,1.462493871,1.588414391,1.469063023
180626_07_DMZ_08.mp4,4.5333008,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.883031719,0.94,fast,6.84,419.2156982,3.575533867,34.54986109,0.972105391,0.650818186,1.501136074,1.68332262,1.53950921,1.042059219,1,1.440547759,1.615380958,1.477372093
19946059-preview.mp4,3.6303293,596,336,24.94,50,1247,109.8632813,2.681645393,1,0.03798,0.532316588,0.9125,veryfast,2.55,10.58569336,0.263055801,48.13,0.994056299,0.846509324,1.418604651,1.189046015,1.164443504,1.039050132,1,1.3652899,1.144358658,1.120680772
25506602-preview.mp4,3.1262282,596,336,21.76,25,544,109.8632813,2.375465393,1,0.26625,0.392828253,0.95327,faster,2.14,15.25512695,0.330752373,41.11,0.979362731,0.781710597,1.034722222,1.092551257,1.147173678,1.047411444,1,0.98788516,1.043096543,1.095246461
6380351-preview.mp4,3.8094831,596,336,27.695,29.97,830,109.8632813,2.973053932,1,0.15241,0.484223559,0.95402,faster,2.98,19.21398926,0.530191422,42.6,0.981069194,0.775901501,1.305194805,1.354471995,1.338404551,1.04950495,1,1.243629012,1.290581806,1.275272261
720-120fps View.MOV,3.5250802,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.67604027,0.92,veryfast,14.12,923.3747559,9.775444984,30.1870951,0.918852487,0.501859839,1.223373495,1.305281399,1.257210019,1.024263226,1.048538871,1.194393651,1.274361282,1.22742864
720-120fps Walking.MOV,3.1019939,1280,720,10.125,120,1215,5566.698608,56.74141026,1,0.426,0.702161159,0.6,fast,26,1999.579224,20.17266655,27.33784554,0.899214612,0.42754818,1.080639642,1.163612658,1.104729441,1.035338549,1.042772226,1.04375486,1.123895811,1.067022418
acoustic_guitar_guitar_player_805.mp4,3.1466442,1280,720,7.32,25,183,298.1385498,2.134100914,1,0.37065,0.561353535,0.89391,faster,2.45,59.29162598,0.432448387,42.44,0.986992222,0.713614242,1.022058824,1.190071084,1.060892895,1.04016298,1,0.982594885,1.144119822,1.019929487
Animal.mp4,3.7052532,1920,1080,35.75,24,858,1610.656616,56.24213409,2,0.14086,0.371390464,0.83119,fast,28.17,173.631958,6.184938431,46.92,0.980175123,0.463392056,1.495495495,1.516915614,1.464955703,1.058513022,1.141585858,1.412826733,1.43306278,1.383975135
Animal_2.mp4,4.2224479,1280,720,20.167,24,484,997.9141846,19.65929127,1,0.01475,0.746488828,0.99277,faster,3.26,9.327514648,0.187428474,42.72,0.975215134,0.616012866,1.424657534,1.64563561,1.310686223,1.031531532,1.005829578,1.381109051,1.595332338,1.270621578
Animal_3.mp4,3.2714948,1280,720,41.833,24,1004,829.5612793,33.90235138,1,0.00673,0.893018667,0.98163,veryfast,9.98,43.11132813,1.797013283,37.66,0.937875638,0.578330911,1.114754098,1.147236031,1.113319743,1.03173321,1,1.080467399,1.111950279,1.079077161
Animal_4.mp4,3.2392186,1280,720,29.083,24,698,1629.902222,46.30081749,1,0.04014,0.722612064,0.98203,fast,12.31,78.04382324,2.261634827,38.38,0.944599633,0.557612179,1.258928571,1.357558717,1.247751183,1.067708333,1.117303175,1.179094077,1.271469628,1.168625498
Arena Steps 1080p30.mp4,4.6148838,1920,1080,16.652,29.97,499,1464.875,24.34344292,2,0.33628,0.504950933,0.88596,fast,15.06,175.0611572,2.927621841,26.94,0.955695739,0.650392154,2,1.81529121,1.545581216,1.058474017,1.097474666,1.889512608,1.715007814,1.460197597
Arndale 1080p30.mp4,4.7151551,1920,1080,16.205,29.97,486,1464.875,23.51748943,1,0.07514,0.767310011,0.98461,veryfast,8.77,133.3920898,2.164183617,29.44,0.95713574,0.705893868,1.678571429,1.724069223,1.417357177,1.021140856,1.001071744,1.643819674,1.68837552,1.388013387
Baby_goats.mp4,3.9157182,1280,720,29.279,23.976,702,1122.787354,32.11279297,1,0.25741,0.466512453,0.84744,faster,10.17,90.8548584,2.650629997,36.9,0.943565461,0.609328686,1.336206897,1.396733232,1.309984311,1.032486051,1,1.2941646,1.35278654,1.268767079
Baby_goats_2.mp4,3.9649545,1920,1080,19.786,29.97,593,1621.998291,31.34929466,1,0.33283,0.099859025,0.80333,faster,18.77,193.0472412,3.805846214,41.48,0.975816768,0.668215785,1.233333333,1.374788198,1.466346912,1.027620478,1,1.200183686,1.337836514,1.426934304
bars_100.avi,4.1686934,720,576,4.04,25,101,2983.59375,14.73564529,1,0,0.92372449,0.97,veryfast,0.37,2.554199219,0.010281563,50.42525676,0.997299314,0.85884951,1.684952961,1.809505515,1.65145749,1.065217391,1.158842697,1.581792576,1.698719463,1.550347848
bb1.mkv,4.3651539,1280,720,172.714,29.97,5176,447.0131836,75.39593601,2,0.11812,0.44298714,0.93483,faster,41.93,23.11437988,3.977581024,44.8,0.980354715,0.603399027,1.76056338,1.481498216,1.283086108,1.036652498,1,1.698315861,1.42911749,1.237720558
bb2.mkv,4.294333,1280,720,252.925,29.97,7580,1749.949585,432.2324352,24,0.28749,0.453188671,0.80082,fast,163.79,118.4677734,29.85460472,44.8,0.874482861,0.409703983,1.779411765,1.566366869,1.368219808,1.097725418,1,1.620998964,1.42692047,1.246413526
bb3.mkv,4.2181931,1280,720,289.608,29.97,8679,398.5480957,112.7174883,4,0.33707,0.453191608,0.9309,veryfast,88.45,58.39001465,16.84808636,44.54,0.984777889,0.715960389,1.541353383,1.442728291,1.386184437,1.032011546,1.003914824,1.493542771,1.39797689,1.343186947
