Width,Height,Frames.per.Second,Original.Bitrate,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset
1920,816,24,443.75,1,0.04935,0.32151,fast
1920,798,30,1265.165161,1,0.08508,0.33618,fast
1920,1080,23.976,677.9785,209,0.12441,0.44138,slow
1920,798,30,2116.720703,10,0.24131,0.46774,medium
1920,798,30,2130.918457,14,0.19698,0.46947,medium
1280,720,23.976,395.7220459,212,0.21282,0.56813,fast
1920,1080,29.97,1573.28772,1,0.0862,0.5754,slow
1280,720,120,5566.698608,1,0.426,0.6,fast
1280,720,23.976,285.4255371,187,0.21327,0.61337,slower
3840,2160,30,5862.145508,1,0.42705,0.63138,fast
1280,720,23.976,278.225708,182,0.21512,0.63227,slow
1920,1080,24,999.5292969,1,0.19146,0.70041,medium
1920,1080,23.976,683.3496094,341,0.30173,0.72078,slow
1920,1080,29.97,1174.448486,1,0.13635,0.73624,medium
1920,1080,23.976,640.625,157,0.34283,0.77526,slow
1920,1080,59.94,3051.875,1,0.40073,0.77629,fast
1920,1080,59.94,1627.687866,1,0.36119,0.78551,fast
1920,1080,24,1095.494629,7,0.10222,0.79566,slower
1920,1080,25,3680.15271,1,0.2745,0.8,fast
1920,1080,59.94,3051.875,1,0.35597,0.80051,fast
1280,720,29.97,1749.949585,24,0.28749,0.80082,medium
1920,1080,24,515.1367188,34,0.23666,0.80546,medium
1280,720,23.976,356.9372559,1,0.40053,0.82415,fast
1920,1080,24,1610.656616,2,0.14086,0.83119,fast
1920,1080,24,334.4726563,21,0.15209,0.83506,slow
1920,1080,59.94,3051.875,1,0.21832,0.84488,fast
1920,1080,24,5493.125,1,0.09169,0.8476,slow
1280,720,29.97,289.5743408,1,0.33622,0.84772,fast
1920,1080,29.97,1417.189209,1,0.03814,0.85512,fast
1920,1080,29.97,1602.376343,6,0.24642,0.85527,medium
1920,816,24,726.125,2,0.22824,0.85747,medium
1920,1080,24,654.296875,21,0.21593,0.85895,slower
1920,1080,24,1068.893188,1,0.1221,0.86692,slow
1920,1080,29.97,1690.274048,1,0.16276,0.87688,medium
1920,1080,29.97,1464.875,2,0.33628,0.88596,fast
1920,1080,24,1243.328613,1,0.10074,0.88787,slow
1920,1080,29.97,1709.297241,1,0.1834,0.8942,slower
1920,1080,24,289.3066406,18,0.25317,0.89664,slow
1920,1080,25,3885.625366,1,0.3227,0.9,slow
1920,1080,29.97,1650.758911,1,0.1092,0.90528,slower
1920,1080,29.97,1588.227051,1,0.37452,0.90555,fast
1280,720,24,1603.114136,1,0.13954,0.93842,fast
1920,1080,24,1095.494629,2,0.10098,0.93871,slower
1920,1080,25,4242.866333,1,0.2749,0.94,fast
1920,1080,29.97,1612.373901,1,0.11151,0.94059,slower
1920,1080,29.97,1547.068726,1,0.23482,0.94541,fast
1920,1080,25,300.1218262,1,0.04848,0.94735,fast
1920,1080,25,3809.698242,1,0.2882,0.95,medium
1920,1080,29.97,1609.136841,1,0.03771,0.95022,medium
1300,1000,30,1747.196167,1,0.04048,0.95432,slower
1920,1080,29.97,1628.141968,1,0.09791,0.95626,fast
1024,576,25,374.2772217,5,0.31566,0.95733,fast
1920,1080,29.97,1650.8302,1,0.02374,0.95814,medium
1920,1080,24,2185.255981,1,0.17086,0.96,fast
1920,1080,29.97,1591.940918,1,0.05152,0.96068,fast
1920,1080,29.97,1552.269531,1,0.0486,0.9674,fast
1920,1080,50,303.5770264,1,0.03833,0.96768,medium
1920,1080,29.97,1541.082031,1,0.0277,0.97009,fast
1920,1080,29.97,1510.925903,1,0.19732,0.9705,fast
1920,1080,29.97,382.6859131,1,0.09669,0.97172,medium
1920,1080,29.97,1479.619751,1,0.04321,0.97446,fast
1920,1080,29.97,1523.139526,1,0.06545,0.97919,fast
1920,1080,29.97,1483.571167,1,0.05062,0.98082,fast
1280,720,24,1629.902222,1,0.04014,0.98203,fast
1920,1080,29.97,1518.448853,1,0.0936,0.9834,fast
1920,1080,29.97,1472.787354,1,0.00967,0.98364,fast
1920,1080,29.97,1614.021484,1,0.0836,0.98485,medium
1920,1080,24,1315.787842,1,0.18365,0.98516,medium
1920,1080,29.97,1611.240112,1,0.03175,0.98637,fast
1920,1080,29.97,1451.774414,1,0.02901,0.98705,fast
1920,1080,29.97,1541.651123,1,0.02351,0.98874,fast
1920,1080,50,325.3530273,1,0.02118,0.98953,medium
1920,1080,24,1541.17749,1,0.02615,0.99011,medium
1920,1080,29.97,1571.365967,1,0.081,0.99151,medium
1920,1080,29.97,1484.937134,1,0.0062,0.99673,medium
