frame,value
0,1.#INF00
1,1.#INF00
2,1.#INF00
3,1.#INF00
4,1.#INF00
5,1.#INF00
6,1.#INF00
7,1.#INF00
8,1.#INF00
9,91.648392
10,47.712891
11,45.799774
12,45.794258
13,44.622845
14,45.682133
15,44.503666
16,44.974365
17,44.968811
18,45.127819
19,44.195419
20,44.099224
21,44.594986
22,44.590965
23,44.114029
24,44.021118
25,43.936615
26,44.788837
27,44.783436
28,43.577156
29,43.493587
30,43.792534
31,43.308224
32,43.284386
33,43.118652
34,43.783508
35,43.132725
36,43.415226
37,43.441139
38,43.848839
39,43.076881
40,43.081947
41,43.714832
42,43.682289
43,42.824543
44,43.334141
45,43.028553
46,44.040592
47,44.042328
48,43.103775
49,42.862640
50,43.715530
51,43.457306
52,43.414185
53,42.686462
54,43.624565
55,42.632610
56,43.090763
57,43.139019
58,43.321812
59,42.301563
60,42.905819
61,43.753231
62,43.766506
63,42.585815
64,42.767616
65,42.338676
66,43.721340
67,43.540985
68,42.310341
69,41.811317
70,42.964394
71,42.399220
72,42.387333
73,41.730072
74,42.227623
75,41.185650
76,41.625511
77,41.596203
78,41.670887
79,40.736435
80,40.710270
81,41.309650
82,41.310986
83,40.546642
84,40.716766
85,40.406502
86,41.301727
87,41.269844
88,40.012394
89,39.231564
90,40.987720
91,40.816784
92,40.819759
93,40.322430
94,40.885704
95,39.702564
96,40.433456
97,40.345650
98,40.856010
99,39.984722
100,40.263157
101,40.783920
102,40.798729
103,40.218048
104,40.608738
105,40.627502
106,41.826702
107,41.831203
108,40.621349
109,40.460247
110,41.781506
111,41.159344
112,41.142559
113,40.653801
114,41.728737
115,40.552784
116,41.177841
117,41.187935
118,41.704659
119,40.616108
120,40.683140
121,41.803120
122,41.817837
123,40.666203
124,41.175571
125,41.073338
126,42.193256
127,42.174282
128,41.107346
129,40.962589
130,42.050236
131,41.197544
132,41.378597
133,40.880386
134,42.013729
135,41.027351
136,41.175217
137,41.209263
138,41.803616
139,40.990154
140,40.755241
141,41.483284
142,41.508934
143,41.667042
144,41.652981
145,42.148979
146,42.371967
147,42.346760
148,41.902992
149,42.778648
150,42.291679
151,42.494068
152,42.501099
153,43.104511
154,42.499058
155,42.860703
156,42.367954
157,42.487362
158,42.562836
159,42.770493
160,42.319431
161,42.431866
162,42.634178
163,42.816784
164,42.540005
165,43.035988
166,42.890316
167,42.923824
168,42.543110
169,43.297459
170,42.815945
171,42.638180
172,42.846283
173,43.171452
174,42.692287
175,42.992931
176,42.521679
177,42.751713
178,42.545090
179,42.721901
180,42.535374
181,42.840332
182,42.900780
183,43.357388
184,43.077427
185,43.429417
186,43.165741
187,43.068951
188,43.105576
189,43.401703
190,43.022018
191,43.114174
192,43.039078
193,43.386803
194,43.079250
195,43.410831
196,43.046658
197,43.107197
198,43.033539
199,43.410110
200,42.977177
201,42.983589
202,43.040665
203,43.570358
204,43.257904
205,43.616726
206,43.134880
207,43.078358
208,43.051060
209,43.424110
210,43.007694
211,43.085323
212,43.046963
213,43.333702
214,42.920006
215,43.180668
216,42.707489
217,42.929668
218,42.691925
219,42.845657
220,42.482185
221,42.494720
222,42.468433
223,42.359741
224,41.960396
225,42.066681
226,42.421234
227,42.267902
228,41.488262
229,41.354229
230,41.663738
231,41.508198
232,41.407467
233,40.871326
234,41.390949
235,40.673088
236,41.364525
237,41.383755
238,41.366844
239,40.641178
240,40.511242
241,41.117622
242,41.128407
243,40.281651
244,40.410446
245,40.236893
246,41.389938
247,41.734344
248,40.841263
249,40.727871
250,43.462433
251,41.607327
252,41.570915
253,40.612789
254,41.595432
255,40.686634
256,41.636696
257,41.683407
258,41.599541
259,41.054672
260,41.119534
261,41.837479
262,41.836147
263,41.213066
264,41.312420
265,41.233349
266,42.167934
267,42.217438
268,41.408310
269,40.937305
270,41.900871
271,41.759193
272,41.702206
273,41.230793
274,41.849987
275,41.112740
276,41.760494
277,41.789284
278,41.745605
279,41.158905
280,41.336685
281,41.875614
282,41.852276
283,41.236393
284,41.413876
285,41.452816
286,42.450279
287,42.515965
288,41.622318
289,41.713009
290,42.192383
291,42.328979
292,42.287663
293,42.107780
294,42.506565
295,42.345947
296,42.784119
297,42.927219
298,42.764156
299,42.957092
300,43.057018
301,43.208992
302,43.081882
303,43.442047
304,43.982193
305,44.218021
306,45.210392
307,45.223377
308,44.405415
309,44.559231
310,45.903759
311,46.743515
312,46.659569
313,46.660000
314,49.921127
315,65.914009
316,65.971817
317,66.683479
318,65.835808
319,68.330414
320,70.272690
321,70.728722
322,70.437035
323,70.779587
324,70.991959
325,71.029457
326,70.916122
327,70.947563
328,71.026695
329,71.072845
330,45.260475
331,44.720932
332,44.593418
333,44.094128
334,43.952164
335,43.624611
336,43.474247
337,43.377144
338,43.683754
339,44.020226
340,43.376869
341,43.502518
342,43.382782
343,43.569477
344,43.285889
345,43.713036
346,43.470844
347,43.447735
348,43.355225
349,43.474461
350,43.942493
351,43.913372
352,43.819416
353,43.848053
354,43.760036
355,43.708172
356,43.638096
357,43.673058
358,43.731766
359,43.857536
360,43.324959
361,43.432293
362,43.269123
363,43.259735
364,43.119949
365,43.636620
366,43.577408
367,43.613712
368,43.089569
369,43.380974
370,43.571491
371,43.683163
372,43.466549
373,43.474003
374,43.231983
375,43.565987
376,43.272423
377,43.324062
378,43.431198
379,43.738209
380,43.050938
381,43.275684
382,43.078148
383,43.150578
384,42.821587
385,43.545635
386,43.289684
387,43.363644
388,42.884975
389,43.273155
390,43.410831
391,43.453381
392,43.247490
393,43.498627
394,43.118671
395,43.369675
396,43.066345
397,43.101521
398,43.412209
399,43.748238
400,43.272621
401,43.527363
402,43.292850
403,43.408741
404,43.148270
405,43.590134
406,43.398487
407,43.483971
408,42.813717
409,43.199085
410,43.159283
411,43.242550
412,43.063816
413,42.930378
414,42.684479
415,42.799786
416,42.585239
417,42.658234
418,42.591980
419,42.823887
420,41.962299
421,42.299900
422,42.148838
423,42.382446
424,42.363777
425,42.692375
426,42.424080
427,42.604553
428,42.434837
429,42.644066
430,42.402241
431,42.666828
432,42.507324
433,42.680492
434,42.460648
435,42.540543
436,42.424519
437,42.534271
438,42.709332
439,42.893005
440,42.458439
441,42.639450
442,42.427734
443,42.510685
444,42.445938
445,42.627094
446,42.537415
447,42.664246
448,42.368088
449,42.546383
450,42.749474
451,42.820313
452,42.589775
453,42.763638
454,42.611752
455,42.718006
456,42.552357
457,42.558441
458,42.715603
459,42.865929
460,42.396290
461,42.538288
462,42.346592
463,42.479111
464,42.369965
465,42.690979
466,42.498428
467,42.551517
468,42.183853
469,42.323257
470,42.397717
471,42.484592
472,42.284885
473,42.295563
474,42.212082
475,42.229542
476,42.073467
477,42.205971
478,42.253563
479,42.381809
480,41.914909
481,42.109890
482,41.994537
483,41.983994
484,41.872505
485,42.253632
486,42.172222
487,42.300770
488,41.967461
489,42.209209
490,42.235474
491,42.339817
492,42.123852
493,42.300922
494,42.130814
495,42.219563
496,41.988060
497,42.139385
498,42.344536
499,42.515045
500,42.159832
501,42.415871
502,42.118317
503,42.196739
504,42.057201
505,42.333248
506,42.285473
507,42.411629
508,42.175095
509,42.226185
510,42.236534
511,42.458897
512,42.148857
513,42.258972
514,42.247021
515,42.350582
516,42.185295
517,42.291801
518,42.403156
519,42.586445
520,42.137817
521,42.303055
522,42.060619
523,42.070068
524,42.080643
525,42.330215
526,42.218758
527,42.344944
528,42.044670
529,42.261883
530,42.217899
531,42.395176
532,42.098480
533,42.277893
534,42.098236
535,42.025669
536,41.971024
537,42.064301
538,42.191319
539,42.441544
540,42.005314
541,42.306385
542,41.958984
543,42.041386
544,41.916927
545,42.263924
546,42.076965
547,42.209053
548,41.934319
549,42.215328
550,42.123856
551,42.213097
552,42.024368
553,42.247868
554,42.084045
555,42.077042
556,41.910892
557,41.924572
558,42.137527
559,42.281013
560,42.002533
561,42.312023
562,41.973141
563,41.934151
564,41.837379
565,42.240601
566,42.099422
567,42.190323
568,41.841133
569,42.116432
570,42.047649
571,42.170242
572,42.036385
573,42.223907
574,42.001934
575,41.909752
576,41.747417
577,41.883339
578,41.788010
579,43.602524
580,44.383183
581,44.236897
582,43.796295
583,43.022789
584,42.919003
585,42.469025
586,42.318142
587,42.421707
588,42.653404
589,42.725018
590,42.335754
591,42.596222
592,42.290855
593,42.267731
594,42.082779
595,42.458508
596,42.393730
597,42.478626
598,42.058662
599,42.057312
600,42.002026
601,42.162163
602,41.933559
603,44.390179
604,44.740685
605,43.191296
606,43.364269
607,43.010075
608,42.993717
609,42.624302
610,43.197380
611,43.022575
612,42.955688
613,42.582539
614,42.959042
615,42.934425
616,43.170437
617,42.769222
618,43.011345
619,42.724258
620,42.718178
621,42.444641
622,42.423378
623,42.718838
624,43.115646
625,42.640945
626,42.969467
627,42.626240
628,42.695492
629,42.370960
630,43.010635
631,42.744144
632,42.708641
633,42.275356
634,42.631741
635,42.763916
636,42.963089
637,42.680199
638,43.024185
639,42.638893
640,42.579689
641,42.355820
642,42.349545
643,42.598099
644,42.982868
645,42.556293
646,42.965675
647,42.566029
648,42.819710
649,42.377464
650,43.051453
651,42.714890
652,42.515873
653,42.290974
654,42.729038
655,42.687176
656,43.020863
657,42.642471
658,42.858501
659,42.572838
660,42.686638
661,42.352741
662,42.361805
663,42.610554
664,43.007912
665,42.424736
666,42.829102
667,42.549206
668,42.587074
669,42.278305
670,43.110050
671,42.727833
672,42.687714
673,42.352642
674,42.808369
675,42.676102
676,43.015984
677,42.619755
678,42.935841
679,42.506870
680,42.708496
681,42.374329
682,42.413788
683,42.660011
684,43.051014
685,42.582600
686,42.811459
687,42.608231
688,42.728714
689,42.346458
690,43.007412
691,42.689564
692,42.662582
693,42.054535
694,42.577480
695,42.688816
696,43.055820
697,42.676514
698,43.082603
699,43.026398
700,42.913227
701,42.568363
702,42.645451
703,42.703728
704,42.830051
705,42.578518
706,43.021160
707,42.642944
708,43.038338
709,42.896675
710,43.357414
711,43.066833
712,43.124447
713,42.271568
714,42.632252
715,42.963696
716,43.274605
717,42.833145
718,43.020351
719,42.777660
720,42.896240
721,42.574131
722,42.607632
723,42.738808
724,42.936512
725,42.536831
726,42.802631
727,42.546654
728,42.842121
729,42.457890
730,43.089138
731,42.742920
732,42.712933
733,42.219807
734,42.645287
735,42.777740
736,42.980614
737,42.694378
738,42.884510
739,42.570175
740,42.727993
741,42.348434
742,42.319962
743,42.604939
744,43.092449
745,42.542774
746,42.798538
747,42.274559
748,45.087273
749,44.835945
750,43.379093
751,43.374599
752,43.039959
753,42.448784
754,42.449223
755,42.986393
756,42.966698
757,42.954548
758,42.444588
759,42.485245
760,42.962502
761,43.099239
762,42.789345
763,42.791782
764,42.775757
765,42.513702
766,42.372849
767,42.388927
768,42.603745
769,42.733337
770,42.494076
771,42.751881
772,42.562019
773,42.185719
774,42.110970
775,42.616814
776,42.649956
777,42.672249
778,42.099045
779,42.210255
780,42.631878
781,42.812225
782,42.461948
783,42.435238
784,42.409878
785,42.335003
786,42.135811
787,41.974957
788,42.448425
789,42.563332
790,42.341511
791,42.733410
792,42.416847
793,42.318439
794,42.288353
795,42.498547
796,42.578175
797,42.562695
798,42.144356
799,42.216534
800,42.639435
801,42.873791
802,42.564621
803,42.581764
804,42.603348
805,42.366676
806,42.383713
807,42.381104
808,42.524036
809,42.557056
810,42.374119
811,42.750206
812,42.393372
813,42.154865
814,42.073433
815,42.376141
816,42.296356
817,42.323753
818,42.027466
819,42.155140
820,42.506756
821,42.676350
822,42.409531
823,42.442268
824,42.470589
825,42.256386
826,42.178150
827,41.975517
828,42.141041
829,42.187801
830,44.415470
831,44.223492
832,43.781029
833,43.565434
834,43.170998
835,42.964684
836,42.723850
837,42.736782
838,43.119976
839,43.547874
840,42.853619
841,43.173462
842,42.875019
843,43.056553
844,42.831821
845,43.515770
846,43.068363
847,42.956837
848,42.653530
849,43.042961
850,42.896606
851,43.125042
852,42.743481
853,42.896053
854,42.859310
