Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,superfast,1117.10,88.025390625,254.96135139465332,46.21,0.9859906104768512,0.7171516130916432
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,veryfast,1444.43,81.79296875,236.90952682495117,46.87,0.987012330197903,0.7416869082186923
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,faster,1443.08,81.7353515625,236.74270629882812,46.93,0.9869779307715463,0.744365411872923
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,fast,1854.42,85.605224609375,247.95156002044678,47.91,0.9879248031136868,0.7632445690953262
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,medium,2734.15,90.4881591796875,262.0947322845459,47.62,0.988362306546925,0.760618505931876
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,slow,5126.99,91.7076416015625,265.62699794769287,48.11,0.9887763686967943,0.772553969944351
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.545654296875,2648.970993041992,16,0.22686,0.91719,slower,11850.49,88.650390625,256.77167224884033,48.33,0.9889261687530142,0.7787763528822362
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,superfast,416.05,124.8524169921875,122.21442222595215,45.52,0.9738,0.591650244140625
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,veryfast,555.76,114.1702880859375,111.75795459747314,49.14,0.9747499999999993,0.6381502929667273
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,faster,552.11,114.0140380859375,111.60509300231934,49.36,0.97475,0.6406500488258388
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,fast,690.89,117.9332275390625,115.44142627716064,49.47,0.9756,0.6493001987915406
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,medium,1029.86,122.5645751953125,119.97485065460205,49.64,0.9762,0.6527502441406223
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,slow,2148.49,125.781494140625,123.12377071380615,51.68,0.9768,0.6775504394531211
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,982.432,24.000,23578,868.320068359375,886.0022897720337,23,0.18962,0.8581,slower,4986.92,122.114501953125,119.53436088562012,52.39,0.97715,0.6834503837585331
