Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,superfast,24.69,570061,8832140,39.217185540158,0.9545408443054643,0.5511644871626074
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,veryfast,36.17,503303,7797835,39.21497363462809,0.9546450727452295,0.5502759690585921
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,faster,36.33,503450,7800105,39.21973781599739,0.9546839499670837,0.5504867662936163
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,fast,43.77,507367,7860798,39.319192555628646,0.9552383917050701,0.5529323015141546
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,medium,55.75,570771,8843142,39.808436265635265,0.957944025674785,0.5707339835418035
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,slow,146.83,580367,8991813,40.12744534002619,0.9591974032258042,0.5820917419354842
C:\Video Compression\Files\Input\byger-20030708-liten.avi,1024,576,121480,25.000,3037,3066079,46634918,5,0.31566,0.95733,slower,335.28,568173,8802875,40.23768531863065,0.9600935148123767,0.5853787606978278
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,superfast,13.93,418119,3261795,15.615138392784214,0.6400495888359433,0.033324971409121884
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,veryfast,16.93,399572,3117108,15.624202887678692,0.6421673158611295,0.033996475153165444
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,faster,16.92,400161,3121707,15.624785968005465,0.6421754567733152,0.03399487202178359
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,fast,23.25,419862,3275390,15.623933541184483,0.6421673601089162,0.03421721851599726
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,medium,34.09,541672,4225645,15.6266036943499,0.6420613852961192,0.034240283185840735
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,slow,56.08,510611,3983335,15.627824767869301,0.642076583390061,0.034367792375765815
C:\Video Compression\Files\Input\credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,61248,30.000,1468,6262802,49470298,1,0.18853,0.6704600000000001,slower,160.94,485650,3788614,15.627952365554819,0.642022195371001,0.03436184206943491
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,superfast,13.11,985021,7527227,14.585563158443355,0.807629649061849,0.10593925920778327
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,veryfast,15.59,725239,5542055,14.60806599791524,0.808881287699792,0.10617193120222386
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,faster,15.60,725949,5547479,14.608154353717865,0.8088718637943031,0.10617096594857549
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,fast,19.92,700685,5354424,14.606182553161943,0.8091509603891578,0.10627459972202906
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,medium,30.34,1462611,11176827,14.605389122307159,0.8089858165392642,0.10631962404447531
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,slow,50.58,1633787,12484895,14.607707592772767,0.8091033780403073,0.10643107644197358
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,0.08507999999999999,0.33618000000000003,slower,176.38,1629046,12448668,14.608308779708139,0.8090288262682431,0.10647533981931882
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,superfast,39.80,1236116,9235872,17.089461557213955,0.766809474058281,0.12805473773987205
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,veryfast,47.48,1172179,8758155,17.08908846055438,0.7669659722814505,0.12817747334754803
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,faster,47.50,1172390,8759730,17.08919800781804,0.7669797661691536,0.12817701421464112
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,fast,56.23,1182312,8833866,17.088714675906196,0.7670157235252294,0.1281244363894812
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,medium,73.74,1161775,8680420,17.09416927007816,0.7675422928216058,0.12849867377398708
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,slow,180.53,1172153,8757953,17.08965788059703,0.7667370597014921,0.1286768713574982
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,0.19698000000000002,0.46947000000000005,slower,363.42,1105359,8258893,17.09319586140728,0.7676897533759773,0.12867238095238087
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,superfast,38.39,1659173,11144740,16.35082030434782,0.7452840292490124,0.13268733596837914
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,veryfast,44.86,1589118,10674169,16.350837558102775,0.7455640079051384,0.1328269130434784
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,faster,44.70,1587475,10663140,16.350921056917006,0.7455739581027669,0.13283208537549404
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,fast,52.47,1601076,10754497,16.350226856916997,0.745603830039526,0.1327871162055338
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,medium,69.58,1577604,10596838,16.355789402371542,0.7461735146245049,0.1330983541501978
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,slow,172.97,1595580,10717584,16.349650763636387,0.7451518822134398,0.13329541422924915
C:\Video Compression\Files\Input\fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,52800,30.000,1264,17340176,115524704,10,0.24131,0.46774,slower,364.55,1484101,9968767,16.352689739920937,0.74626762450593,0.13325431778656127
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,superfast,33.19,1124313,8328819,16.9201519218638,0.7473773240143368,0.12105251827956978
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,veryfast,39.82,1058269,7839568,16.918680681720417,0.7482523663082437,0.12125672544802857
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,faster,39.75,1056989,7830087,16.918900706093197,0.7482373691756268,0.1212439189964157
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,fast,48.73,1084443,8033467,16.918859415053763,0.7482026587813623,0.12115946021505389
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,medium,62.19,1088185,8061188,16.921220985663098,0.7481656186379929,0.12152098996415767
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,slow,145.95,1099301,8143528,16.918841638709676,0.7475367569892463,0.12161294121863786
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,0.39492,0.60618,slower,315.16,1043580,7730752,16.920958705376343,0.7482497663082432,0.121581151971326
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,superfast,4.16,946596,1207270,39.777004940239046,0.964487386454183,0.7008370159362554
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,veryfast,5.03,891495,1136995,40.169271629482026,0.9710468685258965,0.7188875976095619
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,faster,5.14,891416,1136894,40.17506240637448,0.9710825537848609,0.7190369960159355
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,fast,7.14,925868,1180834,40.36405647410362,0.9716711553784856,0.7241443904382465
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,medium,10.47,958049,1221876,40.59745551792829,0.9726623625498005,0.7309221314741039
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,slow,19.47,1017746,1298012,40.94170041832668,0.973783346613545,0.7407463864541838
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,0.18416,0.95512,slower,47.06,974890,1243355,41.000200099601585,0.9739908764940245,0.7431791474103586
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,superfast,17.25,232947,1540268,44.58412452331189,0.9850589324758849,0.5870355618971057
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,veryfast,22.09,198938,1315393,44.773102012057926,0.9857977901929231,0.5934980675241167
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,faster,22.08,199270,1317592,44.773797866559555,0.9858093488745969,0.593625507234728
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,fast,27.66,218106,1442129,45.021487102893865,0.9862243930868168,0.6001725651125406
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,medium,41.97,201912,1335062,45.073198642283,0.9862780570739544,0.6052060964630227
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,slow,72.90,195455,1292366,45.16231011012864,0.9862217757234732,0.6072627966237935
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,0.09169000000000001,0.8476,slower,162.50,204617,1352948,45.322399741157525,0.9866040458199354,0.6112323199356902
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,superfast,7.71,3471775,5508224,35.91841840192922,0.9533973215434077,0.6300899485530548
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,veryfast,9.47,3326828,5278255,36.065646421221864,0.9584090321543409,0.6413742604501605
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,faster,9.56,3322774,5271823,36.07119869774918,0.9584801929260446,0.6415783665594855
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,fast,11.89,3406262,5404282,36.33858421543406,0.9599685980707406,0.649047289389068
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,medium,16.27,3634118,5765792,36.806766787781335,0.962375006430868,0.6614145401929261
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,slow,33.67,3762414,5969343,37.291694479099675,0.9646510064308678,0.6746219196141476
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,0.17277,0.8936799999999999,slower,102.12,3556804,5643128,37.4196441221865,0.9659151125401922,0.6791742700964631
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,superfast,3.86,759696,1211901,20.080714755775592,0.695878323432343,0.13039286468646857
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,veryfast,4.84,744772,1188094,20.121384551155117,0.6992108481848183,0.13244595379537943
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,faster,4.83,744028,1186908,20.12167436633664,0.6992967986798678,0.13253560726072605
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,fast,6.69,796127,1270018,20.132432547854798,0.6982837194719465,0.1329448316831683
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,medium,8.98,894045,1426222,20.134742854785472,0.6972405478547856,0.13360685148514853
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,slow,16.56,962464,1535366,20.136615930693058,0.6964550627062707,0.13405739933993396
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,0.26722,0.9256300000000001,slower,47.88,968838,1545534,20.139495085808587,0.6962391848184819,0.13416486138613862
