Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,superfast,72.76,642117,26617652,57.13,0.9771390510062221,0.7193969742675022
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,veryfast,97.92,614420,25469500,67.0,0.9810369407824706,0.7195678943871288
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,faster,98.30,613970,25450825,67.0,0.9810369407824706,0.7195678943871288
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,fast,136.81,648969,26901655,66.55,0.9823671173385811,0.7163116661166917
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,medium,172.48,720262,29856941,62.47,0.983557619624585,1.2946383403342452
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,slow,348.87,761890,31582540,62.73,0.9841970526797696,1.2847154352411772
C:\Video Compression\Files\Input\Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4,1280,720,325023,29.970,9741,2500000,108311786,4,0.32020000000000004,0.94195,slower,1015.69,754065,31258190,65.77,0.9848690414426877,0.6083258809192951
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,superfast,224.21,701559,120670040,36.99,0.9626068823876419,0.39666899132333855
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,veryfast,322.55,670011,115243682,36.88,0.9641857536772638,0.3889763230740978
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,faster,332.04,669338,115127926,36.85,0.9641228591910372,0.3882618327828846
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,fast,369.86,676746,116402288,38.34,0.9699157857539318,0.4523507127684991
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,medium,445.86,679343,116848709,37.83,0.9690184293126317,0.43678950404970374
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,slow,830.27,644848,110915572,38.84,0.9727663397090169,0.473838421326613
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,1280,720,1348672,23.976,32335,2279225,469101593,182,0.21512,0.63227,slower,2709.96,583862,100425840,39.11,0.9736004889124752,0.48215762248137606
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,superfast,222.78,741567,124253863,43.45,0.9847575074280215,0.6910183981652586
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,veryfast,298.08,712265,119344168,43.88,0.9870111224157191,0.7052951773413202
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,faster,299.42,711906,119284050,43.85,0.9870236250413269,0.7052551893601344
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,fast,372.61,726680,121759447,44.21,0.9878610015402627,0.7140271425012046
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,medium,468.69,759736,127298162,44.48,0.9883795959005806,0.7210786102516792
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,slow,910.11,775866,130000757,44.89,0.9892111541516764,0.7307705310973263
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,1280,720,1313792,23.976,31499,3408078,646118231,185,0.20892,0.56572,slower,2937.36,726673,121758227,44.99,0.989511184956021,0.7326389502345858
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,superfast,215.49,816577,131583659,48.19,0.986520307404958,0.6885582357895569
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,veryfast,290.46,779426,125597058,48.4,0.9884647903986561,0.694325529953782
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,faster,291.08,779251,125569031,48.25,0.9884460316374053,0.693489528630601
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,fast,359.01,793007,127785606,48.9,0.9892018249748327,0.7086945909363678
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,medium,448.12,831115,133926397,48.92,0.9898016790101594,0.710091554574835
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,slow,872.41,843500,135921991,49.09,0.9904008016419015,0.7136629877878101
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,1280,720,1263488,23.976,30293,3241755,594577253,212,0.21282,0.56813,slower,2787.42,788197,127010604,49.16,0.9907515868909538,0.7138699137745167
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,superfast,196.73,709960,114833845,47.7,0.9908101551202038,0.6570567143434369
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,veryfast,265.63,682857,110450053,48.02,0.9926197726896082,0.6598972408760218
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,faster,266.08,681849,110286941,47.99,0.9926186924698441,0.6588491562807675
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,fast,329.55,692139,111951339,48.58,0.9931344178137966,0.6759788866501806
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,medium,411.30,713898,115470833,48.4,0.9936280704643505,0.6709517515278989
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,slow,770.72,704516,113953332,48.73,0.994383493347706,0.6759318088862412
C:\Video Compression\Files\Input\rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,1280,720,1268256,23.976,30407,2338206,450671129,187,0.21327000000000002,0.6133700000000001,slower,2581.64,648311,104862383,48.86,0.9946845126329529,0.677985183221282
