Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,superfast,11.91,9752794,13371407,31.364470286377696,0.9331808885448912,0.5253282662538695
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,veryfast,15.57,9878916,13544325,31.684599541795635,0.9367501439628493,0.5433961207430342
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,faster,16.41,9886771,13555096,31.68445676315786,0.9367194040247679,0.543373787925697
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,fast,19.36,10075227,13813475,31.85761225541792,0.9395854566563484,0.5498880851393189
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,medium,28.08,10980681,15054882,32.68667528018573,0.9499930046439626,0.5770914133126933
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,slow,55.80,12073022,16552518,33.54849285448919,0.9585885743034055,0.6078708761609909
C:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60.000,645,23258960,33152135,1,6.659 %,94 %,slower,217.52,11987761,16435623,33.95057607894738,0.9621389520123842,0.6204766346749223
C:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60.000,660,39980576,56906691,1,45.955 %,67 %,superfast,22.30,17880310,25084610,31.09718175037821,0.8873679349470499,0.4555705007564297
C:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60.000,660,39980576,56906691,1,45.955 %,67 %,veryfast,26.65,15243382,21385216,30.23789097881995,0.8680543040847202,0.4230646565809376
C:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60.000,660,39980576,56906691,1,45.955 %,67 %,faster,26.02,15246843,21390072,30.241846134644486,0.8681255537065059,0.4231497080181544
