Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,superfast,485.92,992252,175256922,42.63,0.9892499995032467,0.9999999824896538
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,veryfast,615.43,947847,167413698,42.79,0.990599999524385,0.9999999827523256
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,faster,616.82,947949,167431830,42.76,0.9905999995206529,0.9999999827287981
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,fast,748.97,959974,169555629,43.04,0.9910499995353077,0.9999999831270611
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,medium,1104.23,907180,160230964,43.23,0.9919499995402621,0.9999999833431032
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,slow,1988.14,873310,154248671,43.52,0.9922499995498855,0.9999999837693416
C:\Video Compression\Files\Input\gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384950,23.976,33204,5248000,1169766760,157,0.34283,0.77526,slower,5203.25,800236,141341939,43.72,0.9924999995600885,0.9999999840651552
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,superfast,437.21,809480,136774126,42.63,0.9902999995028048,0.9999999824882605
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,veryfast,548.84,776776,131248268,42.73,0.9918499995152514,0.9999999827155265
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,faster,549.93,777664,131398375,42.8,0.9918499995263784,0.9999999828917229
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,fast,667.66,796080,134510012,43.04,0.9921999995335582,0.9999999830958586
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,medium,990.99,737583,124625969,43.19,0.9930499995358562,0.9999999832926113
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,slow,1629.53,704307,119003477,43.52,0.9933499995501596,0.9999999837930503
C:\Video Compression\Files\Input\gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324896,23.976,31764,5554000,1169838270,209,0.12441,0.44138,slower,4388.58,653595,110435039,43.73,0.9935499995603558,0.9999999841447883
