videoname,averageintensitycomparision
1080-60fps View.MOV,0.683750346
1080-60fps Walking.MOV,0.178766398
160416_30_Smartphone2.mov,0.887257683
161212_068_Vietnam_1080p96fps.mp4,0.352166317
171124_B1_HD_001.mp4,0.50224806
180301_03_B_CausewayBay_02.mp4,0.712284613
180301_03_B_CausewayBay_03.mp4,0.550053915
180626_07_DMZ_08.mp4,0.883031719
720-120fps View.MOV,0.67604027
720-120fps Walking.MOV,0.702161159
bars_100.avi,0.92372449
bb1.mkv,0.44298714
bb2.mkv,0.453188671
bb3.mkv,0.453191608
bb4.mkv,0.444107161
bb5.mkv,0.454651451
"Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4",0.675833768
byger-20030708-liten.avi,0.245176623
credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.640797381
credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.668956815
fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.023150589
fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.122806691
fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.284431978
Forest_Slice.mov,0.877462506
FroggerHighway.mp4,0.567772657
HS051.mov,0.779498794
INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.592693854
jellyfish-30-mbps-hd-h264.mkv,0.638036343
jellyfish-3-mbps-hd-h264.mkv,0.575474082
jellyfish-70-mbps-hd-h264.mkv,0.640082623
mars-20030905.avi,0.878627021
"Music in the Streets- Santiago de Compostela, Spain.mp4",0.417161265
"One Evening in Campo Santa Maria Nova, Venice.mp4",0.625771798
racing1-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.138990302
racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.179271519
random2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.356581224
random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.179668867
rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv,0.279588637
rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv,0.208178818
rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv,0.14292355
rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv,0.245646775
Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT (2).avi,0.15174504
Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT (3).avi,0.146813947
Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.118926261
Samsung Galaxy S9- Remix Your Everyday.mp4,0.140371392
talking2-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.277667734
Talking-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.235198511
tv-control-room-static-camera-loop_n18w6shax__WL.mp4,0.855021145
wide-20040607-small.avi,0.245378266
With Cars or Without-.mp4,0.692713333
With Cars or Without-_2.mp4,0.740772271
