videoname,averageintensitycomparision
1008613954-preview.mp4,0.186191876
1011314759-preview.mp4,0.390949941
1021607974-preview.mp4,0.738511918
1080-60fps View.MOV,0.683750346
1080-60fps Walking.MOV,0.178766398
1080p60 Bike 1.mp4,0.253245697
1080p60 Bike 2.mp4,0.358825949
1080p60 Bike 3.mp4,0.54829934
1080p60 Bike 4.mp4,0.465105159
160416_30_Smartphone2.mov,0.887257683
161212_068_Vietnam_1080p96fps.mp4,0.352166317
171124_B1_HD_001.mp4,0.50224806
180301_03_B_CausewayBay_02.mp4,0.712284613
180301_03_B_CausewayBay_03.mp4,0.550053915
180626_07_DMZ_08.mp4,0.883031719
19946059-preview.mp4,0.532316588
25506602-preview.mp4,0.392828253
6380351-preview.mp4,0.484223559
720-120fps View.MOV,0.67604027
720-120fps Walking.MOV,0.702161159
acoustic_guitar_guitar_player_805.mp4,0.561353535
Animal.mp4,0.371390464
Animal_2.mp4,0.746488828
Animal_3.mp4,0.893018667
Animal_4.mp4,0.722612064
Arena Steps 1080p30.mp4,0.504950933
Arndale 1080p30.mp4,0.767310011
Baby_goats.mp4,0.466512453
Baby_goats_2.mp4,0.099859025
bars_100.avi,0.92372449
bb1.mkv,0.44298714
bb2.mkv,0.453188671
bb3.mkv,0.453191608
bb4.mkv,0.444107161
bb5.mkv,0.454651451
Bee.mp4,0.291049618
birds_tweeting_bathing_river_water_680.mp4,0.411627261
bumblebee credits.mkv,0.487713818
bumblebee scene 1.mkv,0.157611388
bumblebee scene 2.mkv,0.75
bumblebee scene 3.mkv,0.171315209
bumblebee scene 4.mkv,0.221757289
bumblebee scene 5.mkv,0.302630891
"Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4",0.675833768
byger-20030708-liten.avi,0.245176623
cat_feline_animal_pet_house_cat_427.mp4,0.861755944
credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.640797381
credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.668956815
Cutted_wood.mp4,0.28885927
Day Drive (inverted) 1080p30.mp4,0.434892296
deer_animal_food_eating_bushes_474.mp4,0.835527195
dock_jetty_pier_boy_teen_teenager_453.mp4,0.872837881
dog_canine_walk_pet_park_estray_804.mp4,0.497793478
dog_pet_canine_white_sitting_lying_433.mp4,0.72168104
duck_family_ducks_series_water_831.mp4,0.853108155
espresso_coffee_coffee_machine_555.mp4,0.709498635
espresso_coffee_ristretto_443.mp4,0.626337449
fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.023150589
fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.122806691
fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.284431978
Forest_Slice.mov,0.877462506
FroggerHighway.mp4,0.567772657
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,0.388303298
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,0.178336383
gravity.falls.s02e20.1080p.bluray.x264-taxes.mkv,0.182000814
guitarist_music_man_boy_guitar_355.mp4,0.424769857
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,0.617345286
Hanna.S01E02.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Hanna.S01E03.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Hanna.S01E04.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Hanna.S01E05.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Hanna.S01E06.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
