Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,superfast,233.43,33480106,258974646,33.43,0.9006579949351583,0.46421458401647825
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,veryfast,292.12,31228626,241559055,33.43,0.9019202846251351,0.4610010025175245
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,faster,293.92,31219684,241489883,33.44,0.9020086778334137,0.46102731131037333
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,fast,352.97,31694874,245165563,33.62,0.9062409201152661,0.47001392883570625
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,medium,498.87,35080412,271353321,35.06,0.9270611544321923,0.5273952960965211
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,slow,1283.90,36749680,284265406,35.33,0.9292738583737858,0.5377142180471879
C:\Video Compression\Files\Input\handheld video.mp4,3840,2160,60654,30.000,1821,48022696,366345438,1,0.42705,0.6313799999999999,slower,3839.34,35956316,278128584,35.54,0.9318237523163909,0.5447685577441761
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,superfast,16.54,2926631,5853783,8.96,0.16983098664215485,0.0024000034272554332
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,veryfast,21.00,2472880,4946200,8.97,0.17118552531713666,0.0023007812499998516
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,faster,20.74,2470230,4940901,8.97,0.17109681993728293,0.0023003906249989183
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,fast,28.39,2558070,5116597,8.97,0.17122933524318845,0.0023000488281239156
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,medium,38.99,2583959,5168379,8.96,0.17101053164095215,0.002300024414062158
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,slow,76.30,2726010,5452507,8.96,0.17105730433550487,0.0023000045776356377
C:\Video Compression\Files\Input\messi goal.mp4,1920,1080,15701,59.940,940,56064000,110205202,1,0.25361999999999996,0.90947,slower,182.89,2625223,5250915,8.96,0.17090846165766344,0.002300024414062147
