Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,superfast,12.97,985021,7527227,14.585563158443355,0.807629649061849,0.10593925920778327
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,veryfast,15.61,725239,5542055,14.60806599791524,0.808881287699792,0.10617193120222386
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,faster,15.56,725949,5547479,14.608154353717865,0.8088718637943031,0.10617096594857549
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,fast,19.68,700685,5354424,14.606182553161943,0.8091509603891578,0.10627459972202906
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,medium,30.17,1462611,11176827,14.605389122307159,0.8089858165392642,0.10631962404447531
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,slow,50.17,1633787,12484895,14.607707592772767,0.8091033780403073,0.10643107644197358
C:\Video Compression\Files\Input\credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,60024,30.000,1438,10364233,79156660,1,8.508 %,33 %,slower,176.42,1629046,12448668,14.608308779708139,0.8090288262682431,0.10647533981931882
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,19.698 %,46 %,superfast,39.61,1236116,9235872,17.089461557213955,0.766809474058281,0.12805473773987205
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,19.698 %,46 %,veryfast,47.47,1172179,8758155,17.08908846055438,0.7669659722814505,0.12817747334754803
C:\Video Compression\Files\Input\fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58680,30.000,1406,17456484,129315890,14,19.698 %,46 %,faster,47.36,1172390,8759730,17.08919800781804,0.7669797661691536,0.12817701421464112
