Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion ,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,superfast,52,40.4822998,7.461257935,44.93,0.99195,0.726115444
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,veryfast,65.05,39.22802734,7.230101585,46.19,0.9929,0.756365444
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,faster,65.15,39.21618652,7.227918625,46.19,0.9929,0.756365444
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,fast,84.15,41.47912598,7.644981384,46.38,0.9931,0.76057189
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,medium,125.78,40.8762207,7.533869743,46.83,0.993250012,0.771075015
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,slow,196.79,37.92858887,6.990591049,47.3,0.99345,0.78162189
bumblebee credits.mkv,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.93871,slower,499.03,34.19726563,6.302868843,47.27,0.993475,0.781521694
bumblebee scene 1.mkv,1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,superfast,79.2,176.2458496,28.6970911,42.77,0.97686281,0.500175455
bumblebee scene 1.mkv,1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,veryfast,107.56,165.104248,26.88295555,42.92,0.97754189,0.504988983
bumblebee scene 1.mkv,1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,faster,107.83,165.0507813,26.87425613,42.96,0.977558464,0.505841462
bumblebee scene 1.mkv,1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.62345,fast,130.79,170.0162354,27.68274593,43.18,0.978386746,0.513723029
