videoname,averageintensitycomparision
1080-60fps View.MOV,0.723112637
1080-60fps Walking.MOV,0.443901828
160416_30_Smartphone2.mov,0.826880355
161212_068_Vietnam_1080p96fps.mp4,0.275353272
171124_B1_HD_001.mp4,0.530946452
180301_03_B_CausewayBay_02.mp4,0.763593049
180301_03_B_CausewayBay_03.mp4,0.370807453
180626_07_DMZ_08.mp4,0.92595501
720-120fps View.MOV,0.777296098
720-120fps Walking.MOV,0.741021127
bars_100.avi,0.94778481
"Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4",0.490388441
byger-20030708-liten.avi,0.203088166
credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.609322972
credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.808933251
fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.048989899
