videoname,averageintensitycomparision
1080-60fps View.MOV,0.723112637
1080-60fps Walking.MOV,0.443901828
160416_30_Smartphone2.mov,0.826880355
161212_068_Vietnam_1080p96fps.mp4,0.275353272
171124_B1_HD_001.mp4,0.530946452
180301_03_B_CausewayBay_02.mp4,0.763593049
180301_03_B_CausewayBay_03.mp4,0.370807453
180626_07_DMZ_08.mp4,0.92595501
720-120fps View.MOV,0.777296098
720-120fps Walking.MOV,0.741021127
bars_100.avi,0.94778481
"Burgos, Spain- A Virtual Day in the Pedestrian Precinct (Short version, 720p).mp4",0.490388441
byger-20030708-liten.avi,0.203088166
credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.609322972
credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.808933251
fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.048989899
fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.14599686
fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.097197572
Forest_Slice.mov,0.842806935
FroggerHighway.mp4,0.639536971
HS051.mov,0.741074766
INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.499143271
jellyfish-30-mbps-hd-h264.mkv,0.519207803
jellyfish-3-mbps-hd-h264.mkv,0.4234375
jellyfish-70-mbps-hd-h264.mkv,0.534216772
mars-20030905.avi,0.86052946
"Music in the Streets- Santiago de Compostela, Spain.mp4",0.540282038
"One Evening in Campo Santa Maria Nova, Venice.mp4",0.606995555
racing1-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.074356412
racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.107971787
random2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.281753866
random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,0.146810847
Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT (2).avi,0.119700414
Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT (3).avi,0.053548729
Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.087596031
Samsung Galaxy S9- Remix Your Everyday.mp4,0.173607846
talking2-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.212600478
Talking-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,0.244692807
tv-control-room-static-camera-loop_n18w6shax__WL.mp4,0.86827957
wide-20040607-small.avi,0.231839498
With Cars or Without-.mp4,0.582410025
With Cars or Without-_2.mp4,0.668056574
