frame,value
0,38.468788
1,36.751724
2,33.491268
3,34.190639
4,35.305717
5,36.278027
6,35.087948
7,34.017380
8,34.179409
9,34.131298
10,35.824200
11,33.958748
12,33.699299
13,34.721870
14,34.600464
15,36.115742
16,35.443935
17,34.858223
18,34.997814
19,34.616455
20,35.673737
21,34.518913
22,34.165649
23,34.022289
24,34.358246
25,34.886497
26,34.066189
27,33.816647
28,33.597721
29,33.542294
30,35.174397
31,33.120071
32,33.445679
33,33.901588
34,33.946877
35,36.236244
36,34.168995
37,32.943951
38,33.226513
39,33.109241
40,35.392727
41,33.893093
42,34.231133
43,34.202740
44,33.899605
45,36.151726
46,33.747116
47,33.302547
48,32.910599
49,33.645481
50,36.000122
51,32.703575
52,32.918697
53,33.007774
54,33.679893
55,36.313091
56,33.796333
57,32.843311
58,33.457317
59,33.025555
60,35.648159
61,33.580585
62,33.032616
63,33.322765
64,33.457355
65,36.431126
66,33.956913
67,33.625072
68,33.807259
69,33.193806
70,36.063343
71,33.924698
72,33.305046
73,34.133221
74,34.377487
75,35.943050
76,34.097412
77,33.122608
78,33.799164
79,33.281330
80,35.659710
81,33.451160
82,33.980598
83,34.044395
84,34.370186
85,35.602810
86,34.155811
87,33.373959
88,34.118149
89,34.392555
90,36.304703
91,34.651051
92,34.161316
93,34.963905
94,33.418819
95,36.089714
96,32.686256
97,33.010574
98,37.844860
99,36.445740
100,36.793552
101,35.750874
102,37.042862
103,38.171459
104,32.707630
105,34.691097
106,36.011784
107,38.248974
108,36.628635
109,35.797699
110,36.579311
111,36.256702
112,36.734333
113,38.070023
114,34.734753
115,37.651009
116,38.190784
117,33.932861
118,36.164135
119,36.307465
120,37.771198
121,37.278393
122,37.553528
123,37.788193
124,37.932800
125,39.005711
126,36.900219
127,38.063854
128,37.183273
129,36.891769
130,39.228790
131,36.947994
132,36.327625
133,36.349136
134,36.096107
135,37.052570
136,36.346691
137,36.181103
138,35.775131
139,35.611950
140,37.480648
141,32.913441
142,32.855682
143,34.450233
144,33.940113
145,35.999416
146,33.766018
147,33.381458
148,33.177937
149,33.055679
150,36.594776
151,34.428062
152,34.231186
153,35.179531
154,34.716930
155,36.304291
156,34.783337
157,34.905994
158,35.023266
159,34.780575
160,36.787201
161,34.950279
162,34.598240
163,35.023636
164,35.141693
165,36.799400
166,35.293404
167,35.061874
168,35.226353
169,35.376965
170,36.623302
171,35.533104
172,35.439320
173,35.326569
174,35.404751
175,36.724331
176,35.538689
177,35.105293
178,35.527966
179,35.383675
180,36.172161
181,35.684933
182,35.402321
183,35.613167
184,35.483589
185,36.669647
186,35.773762
187,35.334023
188,35.568092
189,35.527599
190,36.690243
191,35.334702
192,34.672928
193,34.778393
194,35.039978
195,36.723301
196,35.111515
197,35.056297
198,35.157108
199,35.225994
200,36.295807
201,34.899239
202,34.342632
203,34.816776
204,34.835045
205,36.124298
206,34.948612
207,34.688797
208,34.611378
209,34.558788
210,35.499256
211,34.939854
212,34.527863
213,34.884888
214,34.873699
215,35.942173
216,34.842651
217,34.656502
218,34.652020
219,34.832733
220,36.040730
221,34.622120
222,34.551037
223,34.544819
224,34.547844
225,36.036003
226,34.410145
227,34.421040
228,34.161255
229,34.554928
230,35.950699
231,34.659477
232,34.173824
233,34.331913
234,34.511223
235,35.671047
236,34.257690
237,34.186539
238,34.254677
239,34.023647
240,35.193020
241,34.649700
242,34.355946
243,34.412106
244,34.083519
245,35.271580
246,34.417465
247,34.096916
248,34.738918
249,35.167816
250,38.572655
251,34.989346
252,34.392670
253,34.116570
254,34.537655
255,35.919693
256,33.947201
257,33.616001
258,33.960415
259,34.311981
260,35.702877
261,34.529045
262,34.159527
263,34.185261
264,34.238232
265,35.604767
266,34.462593
267,34.206764
268,34.321758
269,33.988811
270,35.513405
271,34.768761
272,34.409149
273,34.798767
274,34.819233
275,36.142357
276,34.948502
277,34.585812
278,34.802742
279,34.823551
280,36.138107
281,35.031376
282,34.447075
283,34.888130
284,34.854488
285,36.129482
286,34.585094
287,34.238449
288,34.518906
289,34.671921
290,36.153736
291,34.616650
292,34.251263
293,34.621632
294,34.774090
295,36.058369
296,34.628540
297,34.601482
298,34.701088
299,34.513405
300,35.947601
301,35.114708
302,34.694687
303,34.879761
304,35.094631
305,36.233746
306,35.039757
307,34.834965
308,35.106567
309,35.036362
310,36.150208
311,35.022194
312,34.781261
313,34.909306
314,35.213127
315,36.628395
316,34.780499
317,34.117661
318,34.152336
319,34.401863
320,36.129520
321,34.862568
322,34.689865
323,34.814621
324,34.826927
325,36.062870
326,34.434616
327,34.135979
328,34.247749
329,34.330311
330,35.580017
331,34.685398
332,34.448517
333,34.893291
334,34.690975
335,36.075645
336,34.747372
337,34.709213
338,34.769749
339,34.672058
340,35.877094
341,34.814255
342,34.495815
343,34.637806
344,34.825527
345,35.984776
346,34.784863
347,34.220539
348,34.233631
349,34.294777
350,35.780994
351,34.544231
352,34.048813
353,34.385422
354,34.455498
355,35.625183
356,34.565277
357,34.015644
358,34.218170
359,34.139137
360,35.471771
361,34.567604
362,34.319302
363,34.579109
364,34.730034
365,35.994244
366,34.601681
367,34.321579
368,34.557037
369,34.508026
370,36.004810
