frame,value
0,0.965231
1,0.959376
2,0.926628
3,0.935333
4,0.946461
5,0.952744
6,0.949637
7,0.938079
8,0.939655
9,0.939872
10,0.950183
11,0.938969
12,0.933169
13,0.939432
14,0.942714
15,0.951672
16,0.949048
17,0.946023
18,0.947885
19,0.945105
20,0.950200
21,0.942942
22,0.939474
23,0.936806
24,0.940651
25,0.943256
26,0.938825
27,0.937135
28,0.933019
29,0.922618
30,0.939184
31,0.926020
32,0.924109
33,0.922917
34,0.924232
35,0.942821
36,0.931840
37,0.916625
38,0.916542
39,0.915525
40,0.939514
41,0.923191
42,0.925430
43,0.924093
44,0.926769
45,0.946812
46,0.925465
47,0.922979
48,0.920899
49,0.930324
50,0.949388
51,0.922338
52,0.923231
53,0.923457
54,0.930636
55,0.948051
56,0.929740
57,0.919260
58,0.925125
59,0.921910
60,0.949641
61,0.926331
62,0.925602
63,0.927602
64,0.931758
65,0.950332
66,0.937615
67,0.924256
68,0.925776
69,0.924006
70,0.945927
71,0.927362
72,0.923419
73,0.930867
74,0.935526
75,0.944554
76,0.925228
77,0.914289
78,0.918368
79,0.916140
80,0.936097
81,0.918951
82,0.921850
83,0.920486
84,0.927219
85,0.937100
86,0.923116
87,0.914987
88,0.915658
89,0.919411
90,0.939128
91,0.927020
92,0.922352
93,0.930775
94,0.921704
95,0.941941
96,0.890251
97,0.909563
98,0.955639
99,0.943051
100,0.939593
101,0.929131
102,0.952860
103,0.956978
104,0.887151
105,0.911411
106,0.946968
107,0.955335
108,0.932409
109,0.926585
110,0.944839
111,0.944104
112,0.948363
113,0.957245
114,0.916491
115,0.945218
116,0.959816
117,0.916099
118,0.931399
119,0.942748
120,0.961923
121,0.955603
122,0.951906
123,0.952836
124,0.956961
125,0.964572
126,0.942310
127,0.956219
128,0.956218
129,0.949963
130,0.961660
131,0.947169
132,0.944965
133,0.948143
134,0.947941
135,0.952955
136,0.949451
137,0.946974
138,0.946573
139,0.947176
140,0.959063
141,0.926659
142,0.923506
143,0.934907
144,0.938890
145,0.951770
146,0.938672
147,0.934147
148,0.928363
149,0.928171
150,0.956265
151,0.944825
152,0.943293
153,0.948942
154,0.947045
155,0.956650
156,0.948668
157,0.949111
158,0.947866
159,0.944167
160,0.957041
161,0.949220
162,0.945636
163,0.948257
164,0.950596
165,0.959489
166,0.952803
167,0.950296
168,0.951293
169,0.952991
170,0.959922
171,0.954369
172,0.953461
173,0.952995
174,0.954181
175,0.960738
176,0.955901
177,0.951728
178,0.953398
179,0.952915
180,0.954732
181,0.953555
182,0.952531
183,0.954126
184,0.954277
185,0.960432
186,0.956467
187,0.953700
188,0.954903
189,0.955140
190,0.960768
191,0.954051
192,0.948976
193,0.949568
194,0.952173
195,0.959406
196,0.949947
197,0.949536
198,0.950662
199,0.952134
200,0.957852
201,0.951654
202,0.946378
203,0.948791
204,0.949247
205,0.956836
206,0.950410
207,0.947778
208,0.946866
209,0.946663
210,0.949966
211,0.949050
212,0.946854
213,0.949473
214,0.950493
215,0.956265
216,0.951378
217,0.949411
218,0.949699
219,0.951713
220,0.957869
221,0.950405
222,0.948830
223,0.948926
224,0.949237
225,0.957453
226,0.948067
227,0.946320
228,0.941866
229,0.946832
230,0.955677
231,0.948365
232,0.944293
233,0.945729
234,0.947329
235,0.954390
236,0.945122
237,0.943387
238,0.943215
239,0.941083
240,0.948215
241,0.945921
242,0.943325
243,0.944009
244,0.943528
245,0.950966
246,0.949234
247,0.947276
248,0.952602
249,0.957571
250,0.974114
251,0.957962
252,0.952676
253,0.949003
254,0.950677
255,0.958134
256,0.946768
257,0.944137
258,0.944126
259,0.944698
260,0.954582
261,0.947044
262,0.944831
263,0.945763
264,0.947118
265,0.955263
266,0.949050
267,0.945807
268,0.946195
269,0.944010
270,0.952915
271,0.950336
272,0.947839
273,0.950665
274,0.951630
275,0.958708
276,0.952836
277,0.950264
278,0.950997
279,0.952688
280,0.959639
281,0.953825
282,0.950397
283,0.953012
284,0.953351
285,0.960107
286,0.951820
287,0.948792
288,0.949741
289,0.951738
290,0.959255
291,0.951792
292,0.948736
293,0.950419
294,0.952199
295,0.959025
296,0.950980
297,0.950050
298,0.950400
299,0.949207
300,0.957599
301,0.955315
302,0.952229
303,0.953531
304,0.955354
305,0.960986
306,0.955198
307,0.953118
308,0.954568
309,0.955166
310,0.960803
311,0.955048
312,0.952553
313,0.953122
314,0.955331
315,0.962708
316,0.952633
317,0.946301
318,0.944406
319,0.945325
320,0.956552
321,0.948098
322,0.946635
323,0.947420
324,0.948528
325,0.956841
326,0.948347
327,0.944422
328,0.945269
329,0.945931
330,0.952088
331,0.949050
332,0.947957
333,0.950596
334,0.950894
335,0.958268
336,0.951357
337,0.951194
338,0.951281
339,0.951650
340,0.958160
341,0.952072
342,0.950045
343,0.950414
344,0.952360
345,0.958875
346,0.951901
347,0.947355
348,0.946223
349,0.947821
350,0.956828
351,0.949886
352,0.942850
353,0.945993
354,0.947928
355,0.955404
356,0.948222
357,0.943604
358,0.943594
359,0.942695
360,0.953490
361,0.948583
362,0.947142
363,0.948892
364,0.950414
365,0.958699
366,0.950187
367,0.947153
368,0.948767
369,0.949549
370,0.958707
371,0.948843
372,0.947002
373,0.949272
374,0.950007
375,0.959176
376,0.950157
377,0.947480
378,0.949010
379,0.950733
380,0.958388
381,0.948268
382,0.942970
383,0.946494
384,0.949246
385,0.957649
386,0.948526
387,0.946303
388,0.947449
389,0.946784
390,0.954090
391,0.948833
392,0.946768
393,0.948327
394,0.949320
395,0.958089
396,0.949713
397,0.947708
398,0.948817
399,0.950520
400,0.958730
401,0.950534
402,0.947461
403,0.948621
404,0.949825
405,0.958344
406,0.949321
407,0.945530
408,0.947542
