frame,value
0,0.677793
1,0.641260
2,0.532344
3,0.553035
4,0.587006
5,0.614424
6,0.589908
7,0.553311
8,0.557278
9,0.558574
10,0.602443
11,0.553474
12,0.538647
13,0.559169
14,0.566320
15,0.609381
16,0.591274
17,0.577447
18,0.583227
19,0.573168
20,0.598584
21,0.567554
22,0.555581
23,0.548642
24,0.560228
25,0.574489
26,0.553222
27,0.545930
28,0.533509
29,0.513656
30,0.570769
31,0.513507
32,0.508315
33,0.511187
34,0.510971
35,0.580742
36,0.524770
37,0.484516
38,0.488213
39,0.485363
40,0.560328
41,0.504862
42,0.502376
43,0.507588
44,0.506496
45,0.579463
46,0.504885
47,0.495622
48,0.490671
49,0.517445
50,0.592196
51,0.496883
52,0.497877
53,0.500123
54,0.519300
55,0.592077
56,0.517309
57,0.486080
58,0.501441
59,0.490245
60,0.590027
61,0.517413
62,0.504916
63,0.511623
64,0.522107
65,0.602865
66,0.545847
67,0.514163
68,0.518131
69,0.509215
70,0.588016
71,0.521456
72,0.505405
73,0.528044
74,0.540766
75,0.584817
76,0.521730
77,0.493448
78,0.502926
79,0.496608
80,0.566586
81,0.502910
82,0.499534
83,0.499826
84,0.512885
85,0.564753
86,0.507297
87,0.486325
88,0.491139
89,0.489345
90,0.571032
91,0.509409
92,0.494308
93,0.515345
94,0.485148
95,0.558556
96,0.439600
97,0.450285
98,0.570028
99,0.522510
100,0.563657
101,0.503952
102,0.547023
103,0.566021
104,0.438215
105,0.501847
106,0.521417
107,0.547134
108,0.523787
109,0.508723
110,0.565300
111,0.535319
112,0.532362
113,0.569272
114,0.500656
115,0.591321
116,0.581184
117,0.503814
118,0.546360
119,0.546917
120,0.623894
121,0.586541
122,0.581119
123,0.597842
124,0.601808
125,0.649257
126,0.574371
127,0.605671
128,0.607882
129,0.592601
130,0.650003
131,0.604575
132,0.598845
133,0.609718
134,0.605379
135,0.632414
136,0.611578
137,0.603309
138,0.602228
139,0.605255
140,0.659829
141,0.544196
142,0.533054
143,0.570789
144,0.574376
145,0.629836
146,0.571545
147,0.557333
148,0.546679
149,0.545328
150,0.649704
151,0.601049
152,0.591800
153,0.609817
154,0.601779
155,0.645952
156,0.611911
157,0.612968
158,0.610469
159,0.596671
160,0.651913
161,0.611380
162,0.601270
163,0.612367
164,0.619568
165,0.660952
166,0.627959
167,0.618375
168,0.622260
169,0.629997
170,0.660075
171,0.634334
172,0.631249
173,0.628241
174,0.631839
175,0.661583
176,0.635885
177,0.622774
178,0.628661
179,0.624704
180,0.643130
181,0.636233
182,0.631736
183,0.636149
184,0.637449
185,0.661381
186,0.642476
187,0.633081
188,0.636118
189,0.635414
190,0.661242
191,0.630279
192,0.612968
193,0.614124
194,0.622744
195,0.657176
196,0.611200
197,0.607964
198,0.613421
199,0.620660
200,0.648799
201,0.618874
202,0.601770
203,0.611319
204,0.614201
205,0.646117
206,0.616079
207,0.607297
208,0.602764
209,0.601074
210,0.626953
211,0.616085
212,0.608195
213,0.616503
214,0.620388
215,0.644470
216,0.620570
217,0.614298
218,0.614035
219,0.619600
220,0.648149
221,0.615523
222,0.610172
223,0.610568
224,0.611509
225,0.647721
226,0.607500
227,0.602225
228,0.585963
229,0.601519
230,0.640869
231,0.610276
232,0.597696
233,0.601658
234,0.607873
235,0.637465
236,0.601736
237,0.597093
238,0.595466
239,0.587987
240,0.621424
241,0.605240
242,0.596013
243,0.595196
244,0.591973
245,0.620945
246,0.608923
247,0.603426
248,0.623005
249,0.642893
250,0.725892
251,0.641520
252,0.621089
253,0.608200
254,0.613872
255,0.648827
256,0.602145
257,0.591837
258,0.592720
259,0.596862
260,0.636395
261,0.603441
262,0.593951
263,0.596497
264,0.600163
265,0.635758
266,0.608772
267,0.597565
268,0.598635
269,0.589048
270,0.630380
271,0.616186
272,0.603976
273,0.611507
274,0.616354
275,0.649082
276,0.621775
277,0.611759
278,0.615592
279,0.619548
280,0.651784
281,0.622358
282,0.609247
283,0.618975
284,0.619918
285,0.651257
286,0.611437
287,0.602670
288,0.606321
289,0.611843
290,0.652046
291,0.614776
292,0.602780
293,0.610481
294,0.616910
295,0.649425
296,0.611411
297,0.609259
298,0.608415
299,0.603444
300,0.646490
301,0.628028
302,0.617161
303,0.621621
304,0.628697
305,0.656273
306,0.628208
307,0.621069
308,0.626914
309,0.627271
310,0.654945
311,0.626784
312,0.617564
313,0.619176
314,0.626856
315,0.663404
316,0.615445
317,0.593936
318,0.591062
319,0.596198
320,0.645642
321,0.604811
322,0.599933
323,0.604950
324,0.608757
325,0.646232
326,0.606625
327,0.593347
328,0.596069
329,0.597329
330,0.632004
331,0.614138
332,0.608928
333,0.618622
334,0.619320
335,0.652776
336,0.622955
337,0.620308
338,0.620743
339,0.621854
340,0.651385
341,0.623478
342,0.615503
343,0.617545
344,0.622706
345,0.650620
346,0.619349
347,0.602556
348,0.598691
349,0.603593
350,0.644905
351,0.611752
352,0.587514
353,0.599318
354,0.603580
355,0.637860
356,0.607607
357,0.591430
358,0.592661
359,0.589070
360,0.636693
361,0.613892
362,0.608532
363,0.613652
364,0.617960
365,0.651875
366,0.615830
367,0.606533
368,0.612644
369,0.614007
370,0.651828
371,0.611639
372,0.606394
373,0.614890
374,0.615092
375,0.654628
