frame,value
0,36.343796
1,35.090996
2,32.103184
3,32.683647
4,33.671276
5,34.262108
6,33.560482
7,32.564606
8,32.664841
9,32.513935
10,33.821461
11,32.410213
12,32.25206
13,33.420658
14,33.278549
15,34.175304
16,33.926357
17,33.412907
18,33.575977
19,33.025497
20,33.666153
21,32.881577
22,32.593609
23,32.431522
24,32.697128
25,32.872269
26,32.345448
27,32.294846
28,32.198208
29,32.410751
30,33.463455
31,31.935621
32,32.260117
33,32.56966
34,32.490616
35,34.458652
36,32.887238
37,31.601561
38,31.743235
39,31.668882
40,33.636494
41,32.421185
42,32.734615
43,32.593468
44,32.474411
45,34.371334
46,32.26989
47,31.809263
48,31.339937
49,32.160526
50,34.13377
51,31.153404
52,31.485472
53,31.429945
54,32.249004
55,34.532532
56,32.2607
57,31.340424
58,32.135376
59,31.699078
60,33.618221
61,32.136559
62,31.705793
63,31.826839
64,31.914982
65,34.532192
66,32.497978
67,32.273472
68,32.359669
69,31.710365
70,34.253025
71,32.504292
72,31.976355
73,32.730129
74,32.982143
75,34.028915
76,32.654598
77,31.653502
78,32.376976
79,31.78898
80,33.889023
81,31.911081
82,32.685722
83,32.540779
84,33.013653
85,33.823563
86,32.71003
87,31.970207
88,32.567608
89,32.92345
90,34.459446
91,33.087029
92,32.63126
93,33.411968
94,31.82058
95,34.320244
96,31.073074
97,31.388058
98,36.078136
99,34.816181
100,35.035904
101,34.223721
102,35.398266
103,36.56078
104,31.043755
105,32.916752
106,34.327492
107,36.617668
108,34.992542
109,34.16967
110,34.785347
111,34.699245
112,35.181377
113,36.407021
114,33.095779
115,35.935066
116,36.565266
117,32.204975
118,34.560921
119,34.785339
120,36.018253
121,35.706123
122,36.016716
123,36.093044
124,36.254814
125,37.300797
126,35.254211
127,36.37281
128,35.470215
129,35.312233
130,37.555782
131,35.366333
132,34.694302
133,34.747849
134,34.49033
135,35.275955
136,34.789936
137,34.594593
138,34.079418
139,33.982277
140,35.658077
141,31.495251
142,31.457212
143,33.020164
144,32.414783
145,34.045525
146,32.334591
147,31.961189
148,31.689262
149,31.58843
150,34.647831
151,32.93087
152,32.717022
153,33.661572
154,33.12249
155,34.299232
156,33.150444
157,33.366215
158,33.509048
159,33.237896
160,34.842949
161,33.406555
162,33.072258
163,33.474888
164,33.567921
165,34.846207
166,33.661118
167,33.452892
168,33.57943
169,33.670914
170,34.623669
171,33.785385
172,33.705544
173,33.627583
174,33.634987
175,34.717052
176,33.963364
177,33.489449
178,33.888664
179,33.747314
180,34.225998
181,33.882149
182,33.690987
183,33.863792
184,33.75111
185,34.677498
186,33.977036
187,33.618515
188,33.852001
189,33.803879
190,34.754753
191,33.651947
192,33.095482
193,33.238621
194,33.494457
195,34.902214
196,33.580845
197,33.548847
198,33.638474
199,33.645603
200,34.322556
201,33.349079
202,32.8465
203,33.227245
204,33.174656
205,34.147022
206,33.315525
207,33.093758
208,33.073383
209,33.047676
210,33.503078
211,33.206753
212,32.876362
213,33.229244
214,33.184052
215,33.970406
216,33.141228
217,33.019257
218,33.013245
219,33.193672
220,34.07938
221,33.000126
222,32.976788
223,32.925289
224,32.917145
225,34.014763
226,32.830757
227,32.91687
228,32.724968
229,32.997509
230,34.020164
231,32.980991
232,32.634018
233,32.741905
234,32.867302
235,33.680862
236,32.630596
237,32.609627
238,32.694439
239,32.534218
240,33.2738
241,32.881935
242,32.697227
243,32.80777
244,32.491112
245,33.391365
246,32.985664
247,32.754589
248,33.351334
249,33.744457
250,36.293182
251,33.513897
252,32.904873
253,32.693264
254,32.986275
255,34.029194
256,32.42057
257,32.168961
258,32.512836
259,32.739647
260,33.809372
261,32.918758
262,32.628201
263,32.626831
264,32.647209
265,33.667145
266,32.801533
267,32.671703
268,32.752167
269,32.514469
270,33.645695
271,33.020634
272,32.793716
273,33.221558
274,33.166618
275,34.214642
276,33.287437
277,32.967979
278,33.187321
279,33.189087
280,34.168621
281,33.374672
282,32.870361
283,33.306709
284,33.201145
285,34.156265
286,33.077885
287,32.756432
288,32.972309
289,33.114677
290,34.18829
291,33.025105
292,32.705517
293,33.050201
294,33.135899
295,34.096458
296,33.045551
297,33.032127
298,33.193275
299,33.03281
300,34.008457
301,33.38942
302,33.065105
303,33.264175
304,33.420185
305,34.280579
306,33.308887
307,33.194504
308,33.448952
309,33.405922
310,34.227489
311,33.34705
312,33.177975
313,33.30999
314,33.613106
315,34.746925
316,33.229496
317,32.670563
318,32.681068
319,32.896088
320,34.221115
321,33.310207
322,33.168709
323,33.228985
324,33.208481
325,34.183167
326,32.848839
327,32.629662
328,32.720222
329,32.838493
330,33.63105
331,32.924374
332,32.76532
333,33.193508
334,33.013451
335,34.114212
336,33.039993
337,33.060009
338,33.080608
339,32.982441
340,33.935238
341,33.105129
342,32.814465
343,32.956856
344,33.065914
345,34.018356
346,33.094734
347,32.624504
348,32.664448
349,32.721882
350,33.814388
351,32.932808
352,32.617966
353,32.855129
354,32.86153
355,33.691833
356,32.84301
357,32.483829
358,32.630703
359,32.630959
360,33.545994
361,32.839512
362,32.621059
363,32.89299
364,33.061893
365,34.070072
366,32.962757
367,32.672859
368,32.907818
369,32.847515
370,34.068733
371,32.714886
372,32.637463
373,33.049747
374,32.908783
375,34.248951
376,33.002327
377,32.734566
378,32.941303
379,32.990696
380,34.03162
381,32.78315
382,32.497334
383,32.742287
384,32.888073
385,33.992279
386,32.822285
387,32.725063
388,32.975136
389,32.913574
390,33.80019
391,32.957157
392,32.73502
393,32.959843
394,32.957317
395,34.122116
396,32.812435
397,32.753456
398,32.859417
399,32.952156
400,34.121944
401,32.942417
402,32.654198
403,32.790314
