frame,value
0,0.946644
1,0.941963
2,0.900531
3,0.909702
4,0.923099
5,0.928814
6,0.928667
7,0.914498
8,0.915757
9,0.913820
10,0.925145
11,0.914097
12,0.907702
13,0.919216
14,0.922687
15,0.929086
16,0.929484
17,0.926481
18,0.928944
19,0.923076
20,0.926260
21,0.919195
22,0.915303
23,0.911217
24,0.915156
25,0.915213
26,0.911731
27,0.911691
28,0.908654
29,0.903946
30,0.918457
31,0.906685
32,0.906002
33,0.902907
34,0.904068
35,0.921138
36,0.914098
37,0.895606
38,0.892259
39,0.891406
40,0.916775
41,0.900081
42,0.903755
43,0.900288
44,0.907779
45,0.926756
46,0.903568
47,0.900507
48,0.894897
49,0.907593
50,0.927921
51,0.895596
52,0.898614
53,0.897024
54,0.908298
55,0.927688
56,0.909539
57,0.896866
58,0.905231
59,0.899796
60,0.925899
61,0.904633
62,0.903865
63,0.902733
64,0.907180
65,0.928550
66,0.915598
67,0.899869
68,0.900586
69,0.897250
70,0.923322
71,0.904234
72,0.899830
73,0.909502
74,0.913386
75,0.919459
76,0.900020
77,0.884741
78,0.894249
79,0.887163
80,0.909346
81,0.889935
82,0.902811
83,0.898216
84,0.908014
85,0.911880
86,0.900296
87,0.890929
88,0.891580
89,0.897601
90,0.914288
91,0.906092
92,0.899946
93,0.911270
94,0.895881
95,0.919713
96,0.851957
97,0.880828
98,0.941704
99,0.925798
100,0.916056
101,0.908537
102,0.939078
103,0.944679
104,0.843676
105,0.874191
106,0.929679
107,0.942812
108,0.910098
109,0.901884
110,0.924450
111,0.927536
112,0.933278
113,0.944466
114,0.887822
115,0.924659
116,0.947844
117,0.884639
118,0.909002
119,0.927140
120,0.948178
121,0.942286
122,0.938731
123,0.937523
124,0.944111
125,0.952905
126,0.923663
127,0.943695
128,0.942409
129,0.934577
130,0.949032
131,0.930915
132,0.927494
133,0.931869
134,0.930152
135,0.934965
136,0.934742
137,0.931704
138,0.929736
139,0.931452
140,0.943485
141,0.906635
142,0.900684
143,0.916025
144,0.917708
145,0.930744
146,0.920027
147,0.914644
148,0.906576
149,0.906388
150,0.937406
151,0.925395
152,0.923374
153,0.930661
154,0.927049
155,0.936930
156,0.929847
157,0.930691
158,0.929780
159,0.922995
160,0.937372
161,0.929696
162,0.925837
163,0.929377
164,0.931802
165,0.941600
166,0.934753
167,0.931570
168,0.932647
169,0.934345
170,0.941919
171,0.935957
172,0.935037
173,0.934357
174,0.935191
175,0.942752
176,0.938832
177,0.933727
178,0.936369
179,0.935737
180,0.935371
181,0.934771
182,0.933431
183,0.935136
184,0.935675
185,0.942549
186,0.937908
187,0.935261
188,0.937036
189,0.937112
190,0.943863
191,0.935884
192,0.930660
193,0.931809
194,0.934461
195,0.942761
196,0.932300
197,0.931768
198,0.933027
199,0.934456
200,0.939536
201,0.933786
202,0.927469
203,0.929763
204,0.930053
205,0.938108
206,0.931937
207,0.929047
208,0.928655
209,0.928648
210,0.928439
211,0.928598
212,0.926491
213,0.929642
214,0.930839
215,0.936927
216,0.931537
217,0.930032
218,0.930080
219,0.932660
220,0.939468
221,0.931379
222,0.929828
223,0.929458
224,0.929789
225,0.938069
226,0.928720
227,0.927442
228,0.921543
229,0.926540
230,0.935724
231,0.927479
232,0.924139
233,0.924753
234,0.926730
235,0.933325
236,0.924001
237,0.923082
238,0.923111
239,0.921392
240,0.926768
241,0.924529
242,0.922169
243,0.923623
244,0.922334
245,0.930808
