frame,value
0,0.598687
1,0.575403
2,0.473627
3,0.490165
4,0.519626
5,0.536696
6,0.525833
7,0.493225
8,0.494541
9,0.491235
10,0.524631
11,0.489111
12,0.478221
13,0.504530
14,0.510614
15,0.534833
16,0.530057
17,0.519756
18,0.524934
19,0.509948
20,0.522341
21,0.502498
22,0.492080
23,0.484394
24,0.492848
25,0.496636
26,0.483870
27,0.483195
28,0.475567
29,0.467894
30,0.507446
31,0.464718
32,0.462131
33,0.459848
34,0.457140
35,0.512431
36,0.473784
37,0.433819
38,0.428706
39,0.426892
40,0.490193
41,0.443275
42,0.441891
43,0.442344
44,0.450674
45,0.509510
46,0.445201
47,0.436836
48,0.426620
49,0.455140
50,0.519412
51,0.433767
52,0.438318
53,0.436023
54,0.461094
55,0.521271
56,0.459161
57,0.428334
58,0.446439
59,0.435739
60,0.512164
61,0.459446
62,0.449295
63,0.449796
64,0.458376
65,0.527740
66,0.482859
67,0.455699
68,0.456709
69,0.445772
70,0.514283
71,0.461446
72,0.448212
73,0.468956
74,0.479323
75,0.506572
76,0.458982
77,0.430258
78,0.443193
79,0.432601
80,0.491293
81,0.436524
82,0.443662
83,0.439205
84,0.456921
85,0.490860
86,0.445692
87,0.427895
88,0.426757
89,0.426967
90,0.494841
91,0.446749
92,0.431124
93,0.450667
94,0.416491
95,0.481852
96,0.366750
97,0.380570
98,0.499498
99,0.450316
100,0.484697
101,0.433910
102,0.475850
103,0.493605
104,0.360633
105,0.418582
106,0.444751
107,0.474759
108,0.446734
109,0.433522
110,0.485646
111,0.464293
112,0.461125
113,0.496448
114,0.424061
115,0.515065
116,0.509237
117,0.426250
118,0.472255
119,0.480729
120,0.552798
121,0.519856
122,0.514315
123,0.526182
124,0.532361
125,0.582634
126,0.504891
127,0.539522
128,0.542488
129,0.528929
130,0.583369
131,0.542827
132,0.537056
133,0.547983
134,0.541862
135,0.563447
136,0.552540
137,0.544842
138,0.541632
139,0.546736
140,0.593075
141,0.491744
142,0.478321
143,0.514356
144,0.516340
145,0.559693
146,0.517199
147,0.505467
148,0.491795
149,0.493032
150,0.582359
151,0.543140
152,0.536539
153,0.553150
154,0.542941
155,0.577335
156,0.555580
157,0.558539
158,0.556738
159,0.538606
160,0.583253
161,0.553047
162,0.544778
163,0.555946
164,0.561645
165,0.594732
166,0.569476
167,0.560974
168,0.563838
169,0.569698
170,0.593009
171,0.572960
172,0.570948
173,0.568694
174,0.570731
175,0.594331
176,0.579174
177,0.565879
178,0.573275
179,0.570851
180,0.578770
181,0.574009
182,0.571419
183,0.575123
184,0.576943
185,0.595934
186,0.579919
187,0.572745
188,0.576228
189,0.576176
190,0.597470
191,0.571716
192,0.558193
193,0.560604
194,0.567273
195,0.594776
196,0.556988
197,0.554528
198,0.558273
199,0.563147
200,0.582860
201,0.561892
202,0.547086
203,0.553602
204,0.555473
205,0.580284
206,0.559306
207,0.551805
208,0.550133
209,0.550535
210,0.562586
211,0.555722
212,0.550365
213,0.558025
214,0.561578
215,0.579915
216,0.561226
217,0.557072
218,0.556386
219,0.561675
220,0.583557
221,0.558339
222,0.554751
223,0.553720
224,0.553994
225,0.581038
226,0.552139
227,0.549753
228,0.529852
229,0.542622
230,0.573279
231,0.548157
232,0.540134
233,0.542814
234,0.546867
235,0.568592
236,0.541849
237,0.539853
238,0.540247
239,0.536366
240,0.557164
241,0.544358
242,0.537618
243,0.538996
244,0.535166
245,0.557412
246,0.560401
247,0.556929
248,0.575900
249,0.594247
250,0.656646
251,0.587995
252,0.568684
253,0.556818
254,0.559895
255,0.585416
256,0.547931
257,0.540922
258,0.541730
259,0.538614
260,0.569444
261,0.543847
262,0.536609
263,0.538410
264,0.541505
265,0.568428
266,0.547712
267,0.540494
268,0.542173
269,0.536005
270,0.566169
271,0.553128
272,0.546049
273,0.553980
274,0.556238
275,0.583261
276,0.561584
277,0.553189
278,0.556638
279,0.560485
280,0.586056
281,0.563137
282,0.552940
283,0.562078
284,0.560950
285,0.585481
286,0.556436
287,0.548949
288,0.551138
289,0.557104
290,0.586592
291,0.557793
292,0.548571
293,0.554790
294,0.558473
295,0.585113
296,0.556041
297,0.554074
298,0.556831
299,0.553871
300,0.585122
301,0.570679
302,0.561397
303,0.566611
304,0.572912
305,0.594254
306,0.570036
307,0.565810
308,0.570092
309,0.571979
310,0.592995
311,0.570399
312,0.562693
313,0.563651
314,0.573233
315,0.603271
316,0.563334
317,0.545664
318,0.540723
319,0.541495
320,0.578453
321,0.547050
322,0.542603
323,0.545811
324,0.548168
325,0.578835
326,0.546991
327,0.537490
328,0.539793
329,0.543683
330,0.563747
331,0.549375
332,0.546875
333,0.555881
334,0.556570
335,0.584916
336,0.559492
337,0.558852
338,0.559453
339,0.560135
340,0.584885
341,0.561499
342,0.554477
343,0.556538
344,0.559873
345,0.584254
346,0.559676
347,0.544450
348,0.541119
349,0.546542
350,0.579029
351,0.554384
352,0.533760
353,0.542825
354,0.546559
355,0.571805
356,0.546875
357,0.535955
358,0.537790
359,0.536456
360,0.573665
361,0.554011
362,0.549406
363,0.554516
364,0.559194
365,0.587474
366,0.556863
367,0.548265
368,0.553754
369,0.555761
370,0.587853
371,0.552542
372,0.548580
373,0.557248
374,0.555771
375,0.591273
376,0.558226
377,0.551211
378,0.555819
379,0.560164
380,0.587745
381,0.549276
382,0.529880
383,0.541482
