Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,superfast,28.06,9752794,13371407,31.36447029,0.933180889,0.525328266
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,veryfast,34.89,9878916,13544325,31.68459954,0.936750144,0.543396121
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,faster,35.04,9886771,13555096,31.68445676,0.936719404,0.543373788
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,fast,44.2,10075227,13813475,31.85761226,0.939585457,0.549888085
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,medium,63.5,10980681,15054882,32.68667528,0.949993005,0.577091413
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,slow,129.24,12073022,16552518,33.54849285,0.958588574,0.607870876
D:\Video Compression\Files\Input\1080-60fps View.MOV,1920,1080,10750,60,645,23258960,33152135,1,17.37%,94%,slower,501.1,11987761,16435623,33.95057608,0.962138952,0.620476635
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,superfast,62.95,17880310,25084610,31.09718175,0.887367935,0.455570501
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,veryfast,75.25,15243382,21385216,30.23789098,0.868054304,0.423064657
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,faster,76.31,15246843,21390072,30.24184613,0.868125554,0.423149708
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,fast,93.07,15435388,21654585,30.34512139,0.872382112,0.428838059
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,medium,125.65,16994404,23841758,31.54753678,0.897037238,0.471975714
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,slow,309.6,17969222,25209347,32.26929103,0.907959812,0.500611065
D:\Video Compression\Files\Input\1080-60fps Walking.MOV,1920,1080,11000,60,660,39980576,56906691,1,63.46%,67%,slower,1012.21,17899018,25110855,32.7626866,0.916812746,0.518318215
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,superfast,6.95,228060,331584,44.1162062,0.981986077,0.714932213
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,veryfast,9.77,180097,261850,44.6652567,0.984178115,0.731521357
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,faster,9.38,180272,262103,44.65388,0.984169874,0.731572605
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,fast,15.19,209840,305094,44.9338441,0.984508538,0.736802206
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,medium,20.47,247425,359740,44.86194481,0.984120605,0.730586773
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,slow,36.84,256594,373071,44.94007817,0.984157773,0.731872738
D:\Video Compression\Files\Input\160416_30_Smartphone2.mov,1920,1080,11400,25,285,6099112,8889857,1,32.56%,97%,slower,98.52,232972,338726,44.95816909,0.984049685,0.731319185
